Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
lncRNA:CR44230	chr3R_+_10491053_10682872_10683585_10683688_10689259	chr3R	+	10491053;10682872;10683585;10683688;10689259	1.5413181086076e-14	1.23092069827977e-13	-0.4;0.4;0.4091;0.387933333333333;-0.797066666666667
hth	chr3R_-_10511519_10511537_10511757_10511817_10514266	chr3R	-	10511519;10511537;10511757;10511817;10514266	4.30720344198214e-10	2.29311459222883e-09	0.388733333333333;-0.388733333333333;-0.2279;0.2279;0.204666666666667;-0.204666666666667
pug	chr3R_+_10690502_10691348_10697268_10699749_10700095_10700217	chr3R	+	10690502;10691348;10697268;10699749;10700095;10700217	5.23559396041269e-11	3.04568378950303e-10	-0.318233333333333;0.318233333333333;-0.1227;0.1227;Inf;Inf;Inf
dac	chr2L_-_16475405_16475411_16475432_16481523_16481551_16483806_16511446_16527388_16535242_16549353_16665617_16665917	chr2L	-	16475405;16475411;16475432;16481523;16481551;16483806;16511446;16527388;16535242;16549353;16665617;16665917	7.97684011070084e-30	1.5037536613484e-28	-0.121333333333333;-0.206433333333333;-0.159033333333333;0.486733333333333;-0.177666666666667;-0.2428;-0.0895333333333333;-0.102333333333333;0.612333333333333;0.374933333333333;-0.374933333333333;0.0599666666666667;0.211433333333333;-0.271366666666667;0.177766666666667;-0.177766666666667;Inf;Inf
TkR86C	chr3R_-_10739508_10740104_10741187_10741323_10741414_10741629_10741829_10741976_10753453_10753516_10753598_10753821_10753856_10753858_10753868_10754031	chr3R	-	10739508;10740104;10741187;10741323;10741414;10741629;10741829;10741976;10753453;10753516;10753598;10753821;10753856;10753858;10753868;10754031	1.49234866184441e-64	7.48077676797859e-63	-0.7085;0.7085;-0.191466666666667;0.191466666666667;-0.0898;0.0897999999999998;-0.155833333333333;0.155833333333333;-0.0777;-0.333233333333333;0.0136666666666667;0.5156;-0.118333333333333;0.802833333333333;-0.0616333333333333;-0.510566666666667;-0.1776;-0.053;-0.137533333333333;0.2588;-0.1213
CG14691	chr3R_-_10754855_10754869_10754872_10754922_10754926_10754928	chr3R	-	10754855;10754869;10754872;10754922;10754926;10754928	0.0216783995566833	0.0410614115917936	-0.103633333333333;0.071;0.0326333333333333;-0.00136666666666667;0.00136666666666685;-0.181766666666667;0.181766666666667
CG45076	chr3R_-_10760921_10761707_10766389_10773161_10774018_10775065_10777175	chr3R	-	10760921;10761707;10766389;10773161;10774018;10775065;10777175	1.55000650143767e-05	4.81510716178489e-05	-0.0126666666666667;-0.0773;0.0213333333333333;0.0686;-0.357966666666667;0.594266666666667;-0.2363
mtgo	chr2L_+_16492051_16497151_16505494_16524062_16542783_16542877_16542991_16542996_16545438_16557877_16559944_16609803_16622841_16634724_16652741_16652912_16657429_16657497_16664895_16680276_16680448_16680650_16680704_16684496_16685941_16690900	chr2L	+	16492051;16497151;16505494;16524062;16542783;16542877;16542991;16542996;16545438;16557877;16559944;16609803;16622841;16634724;16652741;16652912;16657429;16657497;16664895;16680276;16680448;16680650;16680704;16684496;16685941;16690900	1.50198167593791e-152	2.34584614068102e-150	-0.1246;0.1246;-0.220766666666667;-0.4807;0.169233333333333;-0.0516;0.583833333333333;-0.524266666666667;0.524266666666667;-0.0313;-0.394033333333333;-0.0732666666666667;0.498633333333333;0.147333333333333;-0.147333333333333;-0.0417;0.0417;0.0181666666666667;-0.0027;-0.0154666666666667;-0.0148333333333333;0.173;0.000733333333333333;-0.0215666666666667;-0.123433333333333;-0.0139333333333333;-0.00116666666666662;0.00116666666666643;0.649333333333333;-0.0438;-0.6055;0.182233333333333;-0.222;-0.011;0.0508000000000001
SelR	chr3R_-_10862026_10862342_10863825_10863858_10865626_10866527	chr3R	-	10862026;10862342;10863825;10863858;10865626;10866527	9.7494893316586e-10	4.99803254289033e-09	-0.0101;-0.00329999999999997;-0.00673333333333333;0.0201333333333333;0.219166666666667;-0.219166666666667
CG6621	chr3R_-_10883914_10884718_10888343_10889064_10889071_10890845_10890998_10891011_10891092_10891980_10892083	chr3R	-	10883914;10884718;10888343;10889064;10889071;10890845;10890998;10891011;10891092;10891980;10892083	1.0669156040759e-63	5.26516778135615e-62	-0.0248;0.0248;-0.0247666666666667;0.252866666666667;-0.2281;-0.0490333333333333;0.213666666666667;-0.164633333333333;0.318233333333333;-0.2826;-0.0356333333333333;0.0203333333333334;0.000433333333333334;-0.0033;-0.0175;-0.141366666666667;0.141366666666667
SamDC	chr2L_+_10337596_10338017_10338116_10338230_10339618_10340094_10340150_10340238_10340309	chr2L	+	10337596;10338017;10338116;10338230;10339618;10340094;10340150;10340238;10340309	4.37610057574665e-54	1.7600856136312e-52	-0.218866666666667;0.218866666666667;-0.0415666666666667;0.0188666666666669;0.0227;-0.0999333333333333;0.0999333333333334;0.261766666666667;-0.1879;-0.0738666666666667;0.1314;-0.1314
Tengl4	chr3R_+_10950500_10950585_10950590_10950627_10950641_10950667	chr3R	+	10950500;10950585;10950590;10950627;10950641;10950667	2.16337325770719e-37	5.42032980281298e-36	-0.089;0.089;-0.138333333333333;0.138333333333333;-0.150066666666667;-0.0266;-0.170833333333333;0.3475;0.0969;-0.0969
side-VI	chr3R_+_11023817_11027196_11027328_11032510_11032671_11034715	chr3R	+	11023817;11027196;11027328;11032510;11032671;11034715	0.0004242445958425	0.00107611795641232	-0.2039;0.2039;-0.1517;0.1517;0.3514;-0.161566666666667;-0.189866666666667
scpr-A	chr3R_+_11225649_11225701_11241315_11241327_11241379	chr3R	+	11225649;11225701;11241315;11241327;11241379	5.90703415399994e-06	1.94361530406588e-05	-0.0406333333333333;0.0405666666666668;0.0001;0.0063333333333333;-0.00633333333333333
CG17734	chr3R_-_11242499_11242563_11242822_11243013_11243487_11243780	chr3R	-	11242499;11242563;11242822;11243013;11243487;11243780	6.4917719679038e-27	1.07381068888448e-25	-0.0305333333333333;0.0305333333333334;-0.0959666666666667;0.0959666666666665;0.0905;-0.0905;0.1079;-0.1079
chinmo	chr2L_+_1653835_1678867_1678920_1690115_1690755_1693970_1694222	chr2L	+	1653835;1678867;1678920;1690115;1690755;1693970;1694222	5.4195244437313e-07	2.03160493070765e-06	-0.104366666666667;0.104366666666667;-0.0103;0.016466666666667;-0.0062;0.119266666666667;-0.0179666666666667;-0.101266666666667
sea	chr3R_-_11561205_11562199_11563910_11563918_11563922_11564371_11564438_11578548_11578639	chr3R	-	11561205;11562199;11563910;11563918;11563922;11564371;11564438;11578548;11578639	6.99743289817994e-46	2.27311703030249e-44	-0.00716666666666667;0.00716666666666677;-0.436833333333333;0.436833333333333;0.0790666666666666;0.0166666666666667;0.0527666666666667;0.0809;-0.182966666666667;-0.0464
fabp	chr3R_-_11564711_11564782_11566737_11566916_11577873_11577900_11577961	chr3R	-	11564711;11564782;11566737;11566916;11577873;11577900;11577961	1.66724671370248e-10	9.23398179896756e-10	-0.007;0.000633333333333333;0.00636666666666663;-0.0003;-0.00106666666666667;0.00316666666666676;-0.0018
wkd	chr3R_+_11581839_11582562_11582984_11583041_11583312	chr3R	+	11581839;11582562;11582984;11583041;11583312	4.49913897808366e-08	1.91875281333262e-07	-0.494466666666667;0.494466666666667;-0.0316;-0.0288;0.0604333333333333
Jupiter	chr3R_-_11590360_11591013_11591170_11591307_11591421_11591499_11591907_11591911_11591993_11592012_11592185_11592247_11592365	chr3R	-	11590360;11591013;11591170;11591307;11591421;11591499;11591907;11591911;11591993;11592012;11592185;11592247;11592365	1.42490767752597e-224	3.9202498457226e-222	-0.0033;-0.0036;-0.242;0.00253333333333333;0.2464;0.000299999999999856;-0.0003;Inf;Inf;0.0005;0.3794;-0.135366666666667;-0.00653333333333333;-0.237966666666667;-0.318133333333333;0.318133333333333
Jupiter	chr3R_-_11592624_11593320_11593354_11593631_11593766_11604140_11617070_11619702_11622149_11622205	chr3R	-	11592624;11593320;11593354;11593631;11593766;11604140;11617070;11619702;11622149;11622205	3.17388017479563e-28	5.5577477763398e-27	-0.00873333333333337;0.00873333333333333;-0.00986666666666667;-0.00373333333333359;0.0135666666666667;-0.350866666666667;0.350866666666667;0.00886666666666667;-0.000566666666666715;-0.0083;0.0017;0.0112333333333333;-0.0128666666666667
CG14711	chr3R_+_11624294_11624355_11624491_11624548_11624660_11624716	chr3R	+	11624294;11624355;11624491;11624548;11624660;11624716	1.24857334561292e-87	9.09500494484559e-86	-0.512533333333333;-0.1558;0.668333333333333;0.447266666666667;-0.447266666666667;0.2761;-0.2761
glo	chr3R_-_11770103_11771152_11802335_11802354_11802582_11802691_11810362_11816757_11817192_11817338_11818004	chr3R	-	11770103;11771152;11802335;11802354;11802582;11802691;11810362;11816757;11817192;11817338;11818004	7.06276713257307e-09	3.3025910019756e-08	-0.0077;-0.0073;-0.0193666666666667;0.0381333333333333;-0.00373333333333337;0.0709000000000001;-0.0709;0.145366666666667;-0.145366666666667;0.131866666666667;-0.131866666666667;0.413333333333333;-0.413333333333333;-0.0366;0.0366
HisCl1	chr3R_+_11789021_11789072_11789084_11969276_11970093	chr3R	+	11789021;11789072;11789084;11969276;11970093	1.49512559709993e-13	1.10069803130502e-12	-0.0752;0.0751999999999999;0.1965;0.173933333333333;-0.370433333333333
glo	chr3R_-_11818960_11819016_11819209_11880082_11880136	chr3R	-	11818960;11819016;11819209;11880082;11880136	1.37462686473396e-05	4.29988669267752e-05	-0.0311;0.0311000000000001;0.0921666666666667;-0.0709666666666667;-0.0212
CG6962	chr3R_-_11880767_11880826_11881981_11882034_11884321_11884381_11892758_11892775_11892827_11892869	chr3R	-	11880767;11880826;11881981;11882034;11884321;11884381;11892758;11892775;11892827;11892869	1.43345381772816e-30	2.77917925165281e-29	-0.0437666666666667;0.0437666666666666;-0.0932666666666667;0.0932666666666667;-0.0058;0.00436666666666667;0.00136666666666652;0.1244;-0.0410333333333333;-0.0532333333333333;-0.0301666666666667;0.0404666666666664;-0.0404666666666667
Cad87A	chr3R_-_11902201_11918338_11918369_11937188_11937209_11947379	chr3R	-	11902201;11918338;11918369;11937188;11937209;11947379	3.16698850661365e-07	1.22319063661935e-06	-0.3255;-0.0479000000000001;0.3734;0.3507;-0.3507;0.2463;-0.2463
CG31211	chr3R_+_11951825_11951872_11952180_11952238_11952598_11952639	chr3R	+	11951825;11951872;11952180;11952238;11952598;11952639	5.20975039241969e-47	1.75000641028676e-45	-0.0727333333333333;0.0727333333333335;0.0584666666666667;0.0243333333333333;-0.0828;-0.356333333333333;0.356333333333333
CG12213	chr3R_-_11966286_11966388_11966453_11966486	chr3R	-	11966286;11966388;11966453;11966486	3.30219884129139e-21	4.09629563019606e-20	0.4472;-0.4472;0.0517666666666666;-0.0517666666666667;0.114466666666667;-0.114466666666666;0.0880666666666667;-0.0880666666666667
mfas	chr3R_-_11989325_11989328_11989523_11992070_11992143_11992740_11994178_11994755_11994962	chr3R	-	11989325;11989328;11989523;11992070;11992143;11992740;11994178;11994755;11994962	3.36784487945809e-23	4.6592917496837e-22	0.0389666666666666;-0.0333000000000002;-0.00559999999999999;-0.00516666666666667;0.00586666666666669;0.0219666666666667;-0.0225;-0.497066666666667;-0.210033333333333;0.7071;0.0659666666666668;-0.0659666666666667;0.0101666666666668;0.0193666666666667;-0.0295;-0.0515666666666667;0.0515666666666665
mfas	chr3R_-_11992852_11992874_11992884_11993130_11993247	chr3R	-	11992852;11992874;11992884;11993130;11993247	0.0375486904258442	0.0675324136914071	-0.0374333333333333;0.0374333333333333;-0.0112;0.0122333333333333;-0.00106666666666667;-0.0317;0.0317;-0.0122333333333333;0.0122333333333334
CG14740	chr3R_-_12016818_12016933_12049064_12049072_12049130_12061125_12061181_12061605_12061640_12061705	chr3R	-	12016818;12016933;12049064;12049072;12049130;12061125;12061181;12061605;12061640;12061705	1.21949939095444e-29	2.27882002178038e-28	-0.00746666666666667;-0.0161333333333333;0.0235666666666667;-0.00493333333333333;-0.0077;0.0146666666666668;-0.00203333333333333;-0.000399999999999999;0.000400000000000067;Inf;Inf;0.0147000000000002;-0.0147
CG14736	chr3R_+_12041929_12042002_12042100_12042161_12042181_12042204_12042385	chr3R	+	12041929;12042002;12042100;12042161;12042181;12042204;12042385	4.35280647733266e-88	3.18694936475496e-86	0.0137666666666667;-0.662766666666667;0.00763333333333333;0.6414;-0.1495;0.1495;0.551966666666667;-0.551966666666667
Trpgamma	chr2L_-_16666844_16666914_16667284_16667451_16667721_16667776_16668618_16668679_16669013_16669068	chr2L	-	16666844;16666914;16667284;16667451;16667721;16667776;16668618;16668679;16669013;16669068	3.65720643661583e-16	3.3068801772722e-15	-0.1753;-0.086;-0.0900333333333333;0.351366666666667;-0.2264;0.2264;0.146066666666667;-0.146066666666667;0.330666666666667;-0.212333333333333;-0.118266666666667;0.145833333333333;-0.145833333333333
ATP8B	chr3R_-_12073616_12074202_12074457_12074893_12075172	chr3R	-	12073616;12074202;12074457;12074893;12075172	0.000326212631379114	0.000841722137174165	-0.0602999999999999;0.0603;0.1436;-0.0101;-0.133466666666667
dpr17	chr3R_+_12097016_12098656_12106306_12107118_12107137_12107140_12108082_12109932_12110687_12110830_12111033_12111073_12111086_12111102_12111107_12145248_12145706_12222481	chr3R	+	12097016;12098656;12106306;12107118;12107137;12107140;12108082;12109932;12110687;12110830;12111033;12111073;12111086;12111102;12111107;12145248;12145706;12222481	0	0	-0.0259666666666667;0.0259666666666667;-0.241133333333333;0.241133333333333;Inf;Inf;Inf;Inf;0.0008;-0.0161;0.246466666666667;-0.000400000000000001;-0.2201;-0.0023;-0.00846666666666667;0.00806666666666667;-0.00806666666666667;0.00243333333333333;0.0147;0.0047666666666667;-0.00123333333333333;-0.0206
Pen	chr2L_+_10058134_10058197_10058210_10059182_10059450_10101153	chr2L	+	10058134;10058197;10058210;10059182;10059450;10101153	1.91121564876901e-13	1.39368038929349e-12	Inf;Inf;Inf;0.0017999999999998;-0.00133333333333333;-0.000433333333333333
svp	chr3R_+_12258851_12261948_12264880_12282249_12290207_12290358_12294006_12294559_12300477	chr3R	+	12258851;12261948;12264880;12282249;12290207;12290358;12294006;12294559;12300477	2.38689347994194e-32	4.98363293657931e-31	0.0412666666666667;-0.0412666666666667;-0.404066666666667;-0.1552;0.5593;0.738533333333333;-0.00433333333333333;-0.1674;-0.566833333333333;0.419333333333333;-0.419333333333333
CG10038	chr3R_-_12349643_12349680_12349793_12349982_12350193	chr3R	-	12349643;12349680;12349793;12349982;12350193	2.65263333440416e-25	4.06966579467234e-24	-0.0360333333333333;0.0360333333333336;-0.181566666666667;0.181566666666667;Inf;Inf
GstD1	chr3R_-_12366911_12367537_12368575_12368593_12369201	chr3R	-	12366911;12367537;12368575;12368593;12369201	0.0135571944985682	0.0267446184380133	-0.000366666666666667;0.00306666666666666;-0.00266666666666667;-0.180733333333333;0.180733333333333
Prosalpha2	chr3R_+_12420662_12420724_12431481_12431582_12431660_12431744	chr3R	+	12420662;12420724;12431481;12431582;12431660;12431744	1.23856199969151e-25	1.92706507801921e-24	-0.00863333333333333;-0.00736666666666667;0.0160333333333333;0.1014;-0.1014;0.00936666666666663;-0.00936666666666667
vrs	chr3R_+_12447763_12447847_12448066_12448107_12448131_12448140_12449725_12454642	chr3R	+	12447763;12447847;12448066;12448107;12448131;12448140;12449725;12454642	2.60049617332254e-70	1.45213655167922e-68	-0.00236666666666667;-0.0125666666666667;0.0149666666666667;-0.309533333333333;0.309533333333333;0.201866666666667;-0.201866666666667;-0.000833333333333333;0.000733333333333253;0.000133333333333333
CG12267	chr3R_+_12457892_12457950_12459002_12460473_12460522	chr3R	+	12457892;12457950;12459002;12460473;12460522	8.11881831701897e-22	1.04124663711878e-20	-0.432033333333333;-0.204366666666667;0.636466666666667;0.268433333333333;-0.268433333333333
Vha55	chr3R_-_12563119_12593481_12623951_12624904_12624964	chr3R	-	12563119;12593481;12623951;12624904;12624964	2.11212099575253e-97	1.73759906921414e-95	-0.002;-0.0585333333333333;0.0605333333333333;0.671433333333333;-0.671433333333333
grp	chr2L_+_16691192_16691899_16692124_16695676_16696583_16696762_16696769_16697499	chr2L	+	16691192;16691899;16692124;16695676;16696583;16696762;16696769;16697499	5.10479982264201e-08	2.16453195562079e-07	-0.0667333333333333;-0.0167666666666665;0.0835333333333333;-0.0399;0.0509333333333333;-0.0110333333333333;0.0446666666666667;-0.0446666666666667;0.0422666666666668;-0.0422666666666667
Past1	chr3R_+_12675443_12675734_12697538_12698117_12699335_12702818_12703586_12703637_12705120_12705178_12744135	chr3R	+	12675443;12675734;12697538;12698117;12699335;12702818;12703586;12703637;12705120;12705178;12744135	9.58784606735294e-268	3.48141017710604e-265	-0.00493333333333333;-0.175433333333333;0.180366666666667;-0.5316;0.5316;Inf;Inf;0.505433333333333;-0.505433333333333;0.374033333333333;-0.0125666666666667;-0.0152666666666667;-0.313733333333333;-0.0101666666666667;-0.011;-0.0113;0;-0.0089;0.00893333333333335
VhaSFD	chr2L_-_16696362_16696436_16723897_16723959_16724001_16724056_16724067	chr2L	-	16696362;16696436;16723897;16723959;16724001;16724056;16724067	2.10216725281346e-60	9.64542834690521e-59	-0.00473333333333333;-0.1023;-0.0146;0.121633333333333;0.0682666666666667;-0.0682666666666667;0.141966666666667;-0.141966666666667
grsm	chr3R_-_12715132_12719401_12745063_12745145_12746679_12746835_12747113_12747428_12778421_12812069_12813771_12813921_12842321_12842600_12843385_12843442_12843597_12846977_12847150_12847193_12853912_12855767_12855823_12856575_12856605_12857488_12863463_12931857_12950518_12950685_12956940_12957118_12959070_12959228_12959291_12960317_12961441_12966476_12966551_12966748_12967158	chr3R	-	12715132;12719401;12745063;12745145;12746679;12746835;12747113;12747428;12778421;12812069;12813771;12813921;12842321;12842600;12843385;12843442;12843597;12846977;12847150;12847193;12853912;12855767;12855823;12856575;12856605;12857488;12863463;12931857;12950518;12950685;12956940;12957118;12959070;12959228;12959291;12960317;12961441;12966476;12966551;12966748;12967158	2.35592900378146e-277	9.06044696228471e-275	Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;-0.00756666666666667;-0.00566666666666667;-0.00426666666666667;-0.00956666666666667;-0.107333333333333;-0.0143333333333333;-0.0938;-0.127966666666667;-0.0390333333333333;0.367866666666667;0.0408;0.000866666666666667;-0.00356666666666667;-0.00553333333333333;-0.0058;-0.0450666666666667;-0.00296666666666667;-0.0423666666666667;-0.00706666666666667;0.1124;-0.0056;-0.1247;-0.00836666666666667;-0.0157;0.159666666666667;-0.0053;-0.0199666666666667;-0.131466666666667;0.1514;-0.0246;0.0246;0.0181666666666667;-0.0130666666666667;-0.00516666666666667;0.176666666666667;-0.176666666666667;0.6926;-0.4796;-0.212966666666667;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0.562366666666667;-0.269866666666667;-0.0309666666666667;-0.2615;Inf;Inf;0.209166666666667;-0.0961333333333333;-0.0126;-0.100433333333333;0.182133333333333;-0.182133333333333;0.2095;-0.2095;-0.364733333333333;0.364733333333333;-0.144333333333333;0.144333333333333
Cyt-c-d	chr2L_+_16703293_16715987_16716049_16716058_16716217_16716615_16719124_16719976_16722007	chr2L	+	16703293;16715987;16716049;16716058;16716217;16716615;16719124;16719976;16722007	6.16869668915304e-163	1.05564404681458e-160	0.0005;-0.0015;0.000966666666666449;-0.189566666666667;0.189566666666667;0.0569333333333334;-0.0096;-0.0474;-0.000566666666666667;0.0224333333333334;-0.0218666666666667
Paip2	chr3R_+_12980860_12980927_12980933_12980954_12981127_12981213_12981233	chr3R	+	12980860;12980927;12980933;12980954;12981127;12981213;12981233	9.00229885048041e-10	4.63591981118437e-09	-0.0259;0.0113666666666667;0.0145666666666667;-0.0131;0.235466666666667;-0.0534666666666667;-0.1689
Paip2	chr3R_+_12981387_12981466_12981641_12983539_12983713_12983733_12983751_12984047_12984051_12984109_12984268_12985833_12985973_12986709_12986786_12987356_12987431_12987484_12988604_12990888_12990926_12999100_12999439	chr3R	+	12981387;12981466;12981641;12983539;12983713;12983733;12983751;12984047;12984051;12984109;12984268;12985833;12985973;12986709;12986786;12987356;12987431;12987484;12988604;12990888;12990926;12999100;12999439	3.14529771117176e-226	8.70365322535931e-224	0.00216666666666676;-0.0029;0.000766666666666667;-0.0344666666666667;-0.2063;0.240766666666667;-0.0176333333333333;-0.121966666666667;-0.0405666666666667;0.180166666666667;-0.0515;-0.136466666666667;-0.3258;-0.0468;0.5606;-9.9999999999878e-05;0.0001;-0.752133333333333;0.752133333333333;-0.0076;-0.0699333333333333;0.0871;-0.00336666666666667;-0.0026;-0.00173333333333333;-0.00186666666666667;0.0476666666666667;-0.0167;-0.00356666666666667;-0.0132;-0.0101666666666667;-0.00403333333333333;0.0495333333333333;-0.0495333333333333
CG7518	chr3R_+_13001879_13001947_13001975_13002563_13002627	chr3R	+	13001879;13001947;13001975;13002563;13002627	3.01707249866403e-06	1.03113822252478e-05	-0.103033333333333;-0.0508333333333334;0.153866666666667;0.1059;-0.1059
CtBP	chr3R_+_13007214_13007523_13010997_13011748_13012019_13018876_13019340	chr3R	+	13007214;13007523;13010997;13011748;13012019;13018876;13019340	5.37390578506746e-11	3.12334940985127e-10	-0.114133333333333;-0.0273333333333333;0.032;0.00656666666666667;0.102866666666667;0.248166666666667;-0.248166666666667
CtBP	chr3R_+_13021642_13024798_13024822_13025029_13025044_13025387_13031269_13031333_13032807_13033616_13036218_13036498	chr3R	+	13021642;13024798;13024822;13025029;13025044;13025387;13031269;13031333;13032807;13033616;13036218;13036498	9.05297271447349e-37	2.22001112174055e-35	-0.032;-0.0126333333333333;0.0446333333333332;-0.663466666666667;0.663466666666667;-0.519066666666667;-0.114066666666667;0.6331;-0.0428333333333333;0.120866666666667;0.0956666666666667;-0.0363;-0.137466666666667;0.0173333333333333;-0.0173333333333333
CG46280	chr3R_-_13028884_13029917_13030080_13030154_13030209_13030220_13030247_13030268_13030412	chr3R	-	13028884;13029917;13030080;13030154;13030209;13030220;13030247;13030268;13030412	9.05624760111561e-108	8.5126347359133e-106	-0.210666666666667;-0.0115666666666667;0.2222;0.0644666666666668;-0.0644666666666667;0.0083;0.1001;-0.0027;-0.0051;-0.100466666666667
pic	chr3R_+_13048645_13048703_13052469_13052594_13052621_13053034_13053235	chr3R	+	13048645;13048703;13052469;13052594;13052621;13053034;13053235	2.12043143916828e-11	1.28036721146824e-10	-0.0202333333333333;-0.0318666666666667;0.0520999999999999;0.474933333333333;-0.474933333333333;-0.0240666666666667;0.0546333333333332;-0.0305333333333333
timeout	chr3R_+_13089246_13089464_13089564_13090589_13092735	chr3R	+	13089246;13089464;13089564;13090589;13092735	1.22605643919451e-11	7.58178251207793e-11	0.4963;-0.466666666666667;-0.0296333333333333;0.904733333333333;-0.904733333333333
timeout	chr3R_+_13093375_13095233_13095420_13098861_13098986_13099682_13099850_13106774	chr3R	+	13093375;13095233;13095420;13098861;13098986;13099682;13099850;13106774	3.90504184307893e-08	1.67673371421184e-07	-0.142133333333333;0.142133333333333;-0.1722;-0.2163;0.3885;0.288666666666667;-0.103166666666667;-0.185433333333333;0.312866666666667;-0.312866666666667
timeout	chr3R_+_13106947_13109254_13109621_13111415_13114138_13114240_13157979	chr3R	+	13106947;13109254;13109621;13111415;13114138;13114240;13157979	1.33850760834226e-10	7.49773893813146e-10	-0.105033333333333;-0.273;0.378033333333333;-0.1091;-0.0945;0.203566666666667;0.0912999999999999;-0.0913;0.1867;-0.1867;0.263966666666667;-0.263966666666667
CG8630	chr3R_+_13191803_13191851_13215455_13268917_13280092_13282400	chr3R	+	13191803;13191851;13215455;13268917;13280092;13282400	1.79524046366359e-14	1.42527348331613e-13	-0.134633333333333;-0.2412;0.3759;0.0425999999999999;-0.0274333333333333;-0.0152
poly	chr3R_-_13270634_13270765_13288295_13331649_13331895_13332784_13332818_13345329_13361182_13362857_13364315_13364321_13364574_13366758	chr3R	-	13270634;13270765;13288295;13331649;13331895;13332784;13332818;13345329;13361182;13362857;13364315;13364321;13364574;13366758	2.35628535637034e-149	3.57855210428626e-147	-0.0085;-0.0235;-0.0150333333333333;-0.0160333333333333;-0.024;-0.0157333333333333;-0.00816666666666667;0.145533333333333;-0.0345;0.121466666666667;-0.121466666666667;0.141433333333333;-0.141433333333333;-0.106;-0.0097;0.1157
CG9813	chr3R_-_13377661_13377888_13378285_13378318_13378400	chr3R	-	13377661;13377888;13378285;13378318;13378400	1.0149377113355e-29	1.90452582285548e-28	-0.0608666666666667;0.534066666666667;-0.4732;0.0523333333333333;-0.0523333333333333
Droj2	chr3R_+_13382258_13382748_13382806_13383344_13383429_13383462_13383469_13384997_13385102_13391891	chr3R	+	13382258;13382748;13382806;13383344;13383429;13383462;13383469;13384997;13385102;13391891	7.02567205341337e-195	1.55832673899152e-192	-0.128433333333333;0.00276666666666667;0.125666666666667;Inf;Inf;-0.00143333333333333;-0.0016;0.00483333333333313;-0.000166666666666667;-0.00166666666666667;0.157466666666667;-0.157466666666667
yrt	chr3R_-_13399644_13401677_13406361_13406616_13411615_13423069_13426130_13426145_13429769_13430191_13430750_13430921_13433454_13433626_13434046_13434415_13457761_13458545_13462784_13523899_13528571_13528666_13528769_13528830_13544706_13636525_13636969_13637078_13638185_13639203_13642297	chr3R	-	13399644;13401677;13406361;13406616;13411615;13423069;13426130;13426145;13429769;13430191;13430750;13430921;13433454;13433626;13434046;13434415;13457761;13458545;13462784;13523899;13528571;13528666;13528769;13528830;13544706;13636525;13636969;13637078;13638185;13639203;13642297	2.3853978243893e-169	4.35842342718303e-167	-0.0356;-0.0342333333333333;-0.1497;-0.0395333333333333;-0.0169666666666667;-0.0326;0.511766666666667;-0.203266666666667;-0.0253;-0.0406333333333333;-0.0946333333333333;-0.0139333333333333;-0.1176;-0.166233333333333;-0.219066666666667;-0.0273666666666667;-0.0223333333333333;-0.0713666666666667;0.798433333333333;-0.0438666666666667;-0.0343666666666667;0.0782333333333333;Inf;Inf;Inf;0.0365333333333335;-0.0365333333333333;-0.0128666666666667;-0.00493333333333333;-0.0125666666666667;-0.0121;0.145566666666667;-0.0283666666666667;-0.0113666666666667;-0.0633666666666667;0.0414666666666667;-0.0250333333333333;-0.0164666666666667;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;-0.392766666666667;0.392766666666667;-0.4157;0.4157;0.295633333333333;-0.1045;-0.138166666666667;-0.0530333333333333;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0.793266666666667;-0.793266666666667;-0.0179666666666667;0.0179666666666667
Task6	chr3R_-_13643209_13644357_13644570_13644694_13644734_13645751_13656931_13657125_13657295_13658297_13658460_13659648_13660338_13668834_13668959_13669015_13669049_13669534_13669696_13670643	chr3R	-	13643209;13644357;13644570;13644694;13644734;13645751;13656931;13657125;13657295;13658297;13658460;13659648;13660338;13668834;13668959;13669015;13669049;13669534;13669696;13670643	3.59613259617066e-150	5.49655036045469e-148	-0.2306;0.287833333333333;-0.0543333333333333;-0.0029;-0.0109666666666667;-0.0205333333333333;-0.0126666666666667;0.0441333333333334;-0.139066666666667;-0.274166666666667;0.413233333333333;-0.646133333333333;0.4511;0.195;-0.6243;0.6243;0.0668333333333333;-0.0529666666666666;-0.005;-0.00646666666666667;-0.00236666666666667;0.0148;-0.0089;-0.0059;-0.232966666666667;0.232966666666667
rin	chr3R_+_13647200_13647269_13647381_13647420_13647546_13648916_13650497_13650807	chr3R	+	13647200;13647269;13647381;13647420;13647546;13648916;13650497;13650807	6.04934885720436e-70	3.34535773060334e-68	0.00450000000000006;-0.0045;-0.306066666666667;0.306066666666666;-0.0045;0.00449999999999984;0.3472;0.00393333333333334;-0.3444;-0.0067
