Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
CG5910	chr3L_+_20449635_20450264	chr3L	+	20449635	20450264	3.47674128839566e-26	5.55688208784535e-25	-0.628143329150808
Uhg8	chr3L_+_20453516_20453900	chr3L	+	20453516	20453900	5.29702126519711e-26	8.39775100048936e-25	-0.663583411799118
CG5955	chr3L_+_20468460_20468964	chr3L	+	20468460	20468964	1.93766502418739e-22	2.57654158397941e-21	-0.835483436040194
ND-39	chr3L_+_20494926_20495350	chr3L	+	20494926	20495350	0.00100120850515289	0.00239871543660102	-0.169002826355768
sls	chr3L_-_2051996_2052653	chr3L	-	2051996	2052653	2.4512769611907e-14	1.92538424934548e-13	-0.412880169475914
NONE	chr3L_-_20520823_20521409	chr3L	-	20520823	20521409	6.68572206669736e-09	3.13519778992393e-08	-0.246286753123386
CG5104	chr3L_+_20521777_20522153	chr3L	+	20521777	20522153	3.27129965975171e-05	9.71590056930223e-05	-0.180559117340034
Rcd2	chr3L_-_20539074_20540132	chr3L	-	20539074	20540132	8.09122297233908e-15	6.60407760905247e-14	-0.544960421380894
knrl	chr3L_-_20599980_20602191	chr3L	-	20599980	20602191	0.00320789941510196	0.00707457757583738	-0.514864864864865
sls	chr3L_-_2061531_2062045	chr3L	-	2061531	2062045	1.00083543035348e-12	6.84008598901686e-12	-0.42506070124276
CG7028	chr3L_-_207276_208088	chr3L	-	207276	208088	4.98138984863129e-25	7.54055187075004e-24	-0.22001427080465
Pitslre	chr3L_+_20771864_20772603	chr3L	+	20771864	20772603	0.000380742831793145	0.000972428679597509	-0.290804265661951
Pitslre	chr3L_+_20772963_20773792	chr3L	+	20772963	20773792	5.18554967450674e-11	3.01730784005219e-10	-0.224757537423572
Pex14	chr3L_+_20779405_20779676	chr3L	+	20779405	20779676	1.42694768884022e-07	5.74554175666989e-07	-0.0958088362361746
sls	chr3L_-_2079037_2079371	chr3L	-	2079037	2079371	2.32414842710937e-08	1.02573411456064e-07	-0.3258928569612
sls	chr3L_-_2079803_2080162	chr3L	-	2079803	2080162	9.76238921347166e-06	3.11633186165096e-05	-0.306681961812559
sls	chr3L_-_2081390_2081687	chr3L	-	2081390	2081687	5.22935631782006e-09	2.48062811184923e-08	-0.348762390918242
CSN3	chr3L_-_20839897_20840164	chr3L	-	20839897	20840164	5.05498741401707e-05	0.000146234221579435	-0.298252483903651
CG32432	chr3L_-_20852761_20854055	chr3L	-	20852761	20854055	0.000286630994795348	0.000745533455255198	-0.382253565677479
fng	chr3L_-_20926873_20927707	chr3L	-	20926873	20927707	0.000182686524988287	0.000488663113706184	-0.14150115211406
sls	chr3L_-_2114466_2115398	chr3L	-	2114466	2115398	3.22564807275576e-12	2.10190897691063e-11	-0.357940028328378
zormin	chr3L_-_2117623_2118765	chr3L	-	2117623	2118765	9.86491666148897e-22	1.2596523003028e-20	-0.556496083148392
CG33056	chr3L_-_21200514_21202746	chr3L	-	21200514	21202746	5.44673542944589e-14	4.16256280704192e-13	-0.496230787995494
CG10508	chr3L_+_21210804_21212048	chr3L	+	21210804	21212048	1.67532739406084e-13	1.22780102609456e-12	-0.638272659335967
CG10508	chr3L_+_21212388_21212780	chr3L	+	21212388	21212780	1.63768551250459e-10	9.07974888238089e-10	-0.626414279161957
CG10508	chr3L_+_21215112_21215371	chr3L	+	21215112	21215371	7.02448216293686e-32	1.43749179825261e-30	-0.394771343589396
Ilk	chr3L_+_21217152_21217565	chr3L	+	21217152	21217565	3.63072136017132e-18	3.75009400528157e-17	-0.344897680143801
zormin	chr3L_-_2126670_2127076	chr3L	-	2126670	2127076	3.9325160849746e-07	1.50059074250722e-06	-0.360699122547791
AcCoAS	chr3L_-_21273689_21279473	chr3L	-	21273689	21279473	2.78817066440256e-07	1.08402002318691e-06	-0.329107748343866
CG12974	chr3L_-_21283477_21284180	chr3L	-	21283477	21284180	4.37767295375721e-06	1.46462291213097e-05	-0.594639376218324
CG12974	chr3L_-_21284470_21285053	chr3L	-	21284470	21285053	2.09449858768152e-10	1.14979220270929e-09	-0.693742985409652
Pc	chr3L_-_21317482_21317795	chr3L	-	21317482	21317795	1.21011063585437e-09	6.14021166901473e-09	-0.439404944877313
NONE	chr3L_-_21333518_21335143	chr3L	-	21333518	21335143	1.37202677593994e-22	1.84048418821445e-21	-0.689330650424483
CG7324	chr3L_-_21342452_21342929	chr3L	-	21342452	21342929	1.45556681520089e-14	1.16543099871222e-13	-0.258889207983168
CG7324	chr3L_-_21343097_21343574	chr3L	-	21343097	21343574	2.09096077592712e-11	1.2636387971412e-10	-0.304418008889187
ebd2	chr3L_-_21346075_21346687	chr3L	-	21346075	21346687	0.000256657642267794	0.00067227780097037	0.287467320261438
CG32440	chr3L_+_21360540_21360947	chr3L	+	21360540	21360947	1.33002868117466e-09	6.72008558162006e-09	-0.211620201580478
barc	chr3L_-_21425545_21428359	chr3L	-	21425545	21428359	1.19690709861958e-12	8.12731108058812e-12	-0.370411962764904
Aef1	chr3L_+_21434099_21435023	chr3L	+	21434099	21435023	1.22836642518968e-09	6.22842510201439e-09	-0.504050845717513
NONE	chr3L_+_21458539_21459464	chr3L	+	21458539	21459464	6.86898870886317e-09	3.21660502322281e-08	-0.636917480667481
Neu2	chr3L_-_21490050_21490478	chr3L	-	21490050	21490478	7.25560945752184e-13	5.02379494449185e-12	-0.474358104584394
CG7202	chr3L_-_21492187_21492550	chr3L	-	21492187	21492550	1.24250925717745e-08	5.65785041596649e-08	-0.174976532922888
Est-Q	chr3L_+_21501722_21502164	chr3L	+	21501722	21502164	5.47458890792142e-07	2.05116432936013e-06	-0.275928630146622
M6	chr3L_+_21510280_21511089	chr3L	+	21510280	21511089	2.84542213322075e-07	1.10498770919407e-06	-0.378417992729669
Cdk12	chr3L_+_21516654_21517248	chr3L	+	21516654	21517248	3.94200773500281e-37	9.78756325235061e-36	-0.392858274153238
Cdk12	chr3L_+_21520790_21521080	chr3L	+	21520790	21521080	2.87702050963829e-13	2.06470058786503e-12	-0.136930699151978
CG7611	chr3L_+_21523627_21524720	chr3L	+	21523627	21524720	2.70124523541251e-07	1.05179616885051e-06	-0.137411415627491
CG7611	chr3L_+_21525716_21525982	chr3L	+	21525716	21525982	8.50174666052786e-17	8.02940245736571e-16	-0.307360051205343
Mkrn1	chr3L_-_21532031_21532337	chr3L	-	21532031	21532337	3.20196398503505e-34	7.18115340265017e-33	-0.141438760042329
Mkrn1	chr3L_-_21533186_21533565	chr3L	-	21533186	21533565	7.99409049114476e-10	4.142068603184e-09	-0.178356872571653
Wnk	chr3L_-_21546297_21546553	chr3L	-	21546297	21546553	2.65792738667691e-07	1.03540836936023e-06	-0.0659791958892834
Wnk	chr3L_-_21547388_21548719	chr3L	-	21547388	21548719	7.40753427432267e-09	3.4555611171961e-08	-0.0771849830661791
CYLD	chr2L_-_10297936_10298779	chr2L	-	10297936	10298779	0.000215013709378362	0.000569337232199485	-0.0145372228726712
EMC10	chr3L_+_21574911_21575225	chr3L	+	21574911	21575225	1.05784276231445e-20	1.27261366420917e-19	-0.0902290404233103
lncRNA:CR43939	chr3L_-_21576763_21577144	chr3L	-	21576763	21577144	3.46220266729888e-72	2.0143007824093e-70	-0.523655298688566
CG15822	chr3L_-_2160818_2161629	chr3L	-	2160818	2161629	6.41860980030765e-07	2.38431696432689e-06	-0.490441202195721
Atox1	chr3L_+_21641362_21641972	chr3L	+	21641362	21641972	7.71913082646893e-15	6.31009503775756e-14	-0.104668822197809
lncRNA:CR45956	chr3L_-_21643427_21643683	chr3L	-	21643427	21643683	0.00805739070709865	0.016573297257061	-0.158887043189369
CG11249	chr3L_+_21672656_21672925	chr3L	+	21672656	21672925	3.09509587101827e-52	1.19771922015515e-50	-0.386349808303912
CG11247	chr3L_-_21726937_21728285	chr3L	-	21726937	21728285	9.27584255873594e-17	8.73799394102192e-16	-0.273548670224381
eg	chr3L_+_21815584_21816276	chr3L	+	21815584	21816276	0.000116271609204661	0.000319902332767715	-0.210261343594677
NONE	chr3L_-_21869740_21870326	chr3L	-	21869740	21870326	1.42953514475037e-08	6.46176985619487e-08	-0.575328592975652
lncRNA:CR43878	chr3L_-_21885056_21886948	chr3L	-	21885056	21886948	2.29563784343045e-21	2.87007893413033e-20	-0.842701824708756
CG5707	chr3L_-_2190410_2191938	chr3L	-	2190410	2191938	2.3493979766865e-06	8.13422405403252e-06	-0.726325757575758
CG14562	chr3L_+_21942454_21943735	chr3L	+	21942454	21943735	0.00170209359345496	0.00393040622797257	-0.246595366176098
CG14562	chr3L_+_21946118_21946791	chr3L	+	21946118	21946791	0.000107912389472363	0.000298268510190768	-0.22775418847415
Chs2	chr3L_+_21963915_21964401	chr3L	+	21963915	21964401	1.69680306577876e-05	5.24176618519514e-05	-0.437390585986542
Chs2	chr3L_+_21966317_21967124	chr3L	+	21966317	21967124	3.41392827254497e-10	1.83520859344057e-09	-0.536184714756143
CG7470	chr3L_+_21972242_21976293	chr3L	+	21972242	21976293	2.03403553746218e-08	9.03493728674521e-08	-0.202106893988222
CG7470	chr3L_+_21981195_21982132	chr3L	+	21981195	21982132	7.71010930461475e-06	2.4969193171754e-05	-0.366770851626264
Rich	chr3L_-_22260373_22260622	chr3L	-	22260373	22260622	0.000365604581677622	0.00093613827560946	-0.0789343093382594
Csp	chr3L_+_22271762_22272134	chr3L	+	22271762	22272134	6.8094001064096e-11	3.92166183657414e-10	-0.0483455555775756
Srpk79D	chr3L_+_22280317_22281677	chr3L	+	22280317	22281677	2.51870788287354e-22	3.32628472773397e-21	-0.224585428100451
Srpk79D	chr3L_+_22281783_22282560	chr3L	+	22281783	22282560	4.7902326817205e-27	7.9670709881974e-26	-0.189111678906324
Ten-m	chr3L_-_22301316_22302793	chr3L	-	22301316	22302793	4.08457211425597e-18	4.20399442412889e-17	-0.451709735675353
Ten-m	chr3L_-_22305764_22306040	chr3L	-	22305764	22306040	1.88680297797e-17	1.86263856776359e-16	-0.309661544774879
ACXD	chr3L_+_2238013_2238306	chr3L	+	2238013	2238306	5.41475681055774e-06	1.79098968475165e-05	-0.463959591601956
ACXD	chr3L_+_2238550_2239091	chr3L	+	2238550	2239091	9.23667872009942e-05	0.000257620034392386	-0.558612539608332
ACXD	chr3L_+_2240260_2240757	chr3L	+	2240260	2240757	0.0016964935536065	0.00391855006220996	-0.255365196541667
lncRNA:CR42862	chr3L_+_224183_224971	chr3L	+	224183	224971	3.59283081797004e-10	1.92749371186135e-09	-0.176391845841388
CG11426	chr3L_+_22470794_22471865	chr3L	+	22470794	22471865	1.05506849625545e-07	4.31288414618806e-07	-0.615432994678278
oxt	chr3L_-_2261107_2261451	chr3L	-	2261107	2261451	4.40494474272969e-13	3.10974100505246e-12	-0.269799369885545
lncRNA:CR43764	chr2L_-_15296405_15297511	chr2L	-	15296405	15297511	1.39348318583908e-05	4.35563204061356e-05	-0.185890168033025
CG11367	chr3L_+_22732140_22732579	chr3L	+	22732140	22732579	3.1441272683523e-28	5.50767017900764e-27	-0.624437010066381
SPoCk	chr3L_+_22775137_22777109	chr3L	+	22775137	22777109	1.3780263698362e-05	4.310143519332e-05	-0.395927413054785
SPoCk	chr3L_+_22778824_22783418	chr3L	+	22778824	22783418	5.280167380651e-99	4.42272755354481e-97	-0.407002972400121
SPoCk	chr3L_+_22784764_22785281	chr3L	+	22784764	22785281	4.88485958480209e-49	1.74755576804233e-47	-0.55942266406798
jim	chr3L_-_22799448_22799939	chr3L	-	22799448	22799939	1.58437086447851e-12	1.06346266939924e-11	-0.337875486027447
Chro	chr3L_-_22874699_22875122	chr3L	-	22874699	22875122	1.45430762464086e-35	3.41472289531626e-34	-0.485586898998808
Chro	chr3L_-_22878018_22878632	chr3L	-	22878018	22878632	1.04426855881737e-16	9.80747305840271e-16	-0.594864944470483
slif	chr3L_+_22889395_22891363	chr3L	+	22889395	22891363	2.14939605763604e-21	2.69147656533604e-20	-0.64634026524236
CG12768	chr3L_+_22912233_22913262	chr3L	+	22912233	22913262	1.38550748146885e-11	8.5243298640545e-11	-0.616985683162154
CG12768	chr3L_+_22914299_22923360	chr3L	+	22914299	22923360	8.61254101210789e-16	7.59130409313168e-15	-0.411552421987205
lncRNA:CR42862	chr3L_+_229244_229587	chr3L	+	229244	229587	7.47776079293921e-07	2.75536591480208e-06	-0.0156008365562481
Mes2	chr3L_+_22945940_22946268	chr3L	+	22945940	22946268	4.71002336561421e-11	2.75304291051737e-10	-0.387460462376496
nrm	chr3L_+_22998766_23002051	chr3L	+	22998766	23002051	1.44194265274381e-27	2.45466544112495e-26	-0.621926306691179
nrm	chr3L_+_23002443_23007326	chr3L	+	23002443	23007326	1.6181511588665e-32	3.40640343425658e-31	-0.703825653630657
nrm	chr3L_+_23007707_23010848	chr3L	+	23007707	23010848	6.6061108305296e-08	2.76789175533427e-07	-0.458477928455012
nrm	chr3L_+_23011020_23011436	chr3L	+	23011020	23011436	6.9200614089597e-28	1.19264144730925e-26	-0.674120854824322
nrm	chr3L_+_23011817_23012721	chr3L	+	23011817	23012721	8.26028195085437e-48	2.85033520746992e-46	-0.717973507724374
nrm	chr3L_+_23013305_23013767	chr3L	+	23013305	23013767	1.53460024025682e-38	4.00558381266377e-37	-0.723425847877058
nrm	chr3L_+_23014748_23015176	chr3L	+	23014748	23015176	6.78781677138537e-05	0.000193044731747272	-0.125088471991077
nrm	chr3L_+_23015562_23018966	chr3L	+	23015562	23018966	1.76022415298214e-39	4.73800015469872e-38	-0.369351107751298
nrm	chr3L_+_23019612_23020654	chr3L	+	23019612	23020654	8.05879639875534e-25	1.20876876493136e-23	-0.603641472347686
nrm	chr3L_+_23020842_23024027	chr3L	+	23020842	23024027	6.85626822865237e-35	1.57571912909867e-33	-0.575345181469606
nrm	chr3L_+_23024169_23025084	chr3L	+	23024169	23025084	1.33039576793176e-10	7.45521896370504e-10	-0.342751709536205
nrm	chr3L_+_23026667_23029835	chr3L	+	23026667	23029835	6.16657053466562e-30	1.16633295474802e-28	-0.439927081370517
nrm	chr3L_+_23029931_23030817	chr3L	+	23029931	23030817	9.48173711573459e-32	1.92985522652647e-30	-0.640640340689121
nrm	chr3L_+_23032201_23033492	chr3L	+	23032201	23033492	2.38496973847246e-23	3.32492019747442e-22	-0.166803501102841
nrm	chr3L_+_23037753_23038010	chr3L	+	23037753	23038010	6.17759957209517e-09	2.90768911065051e-08	-0.460949693008517
RpL10	chr3L_-_23093878_23094682	chr3L	-	23093878	23094682	4.47676416593533e-11	2.62205759696787e-10	-0.0387908164516309
CkIIalpha	chr3L_+_23101095_23102120	chr3L	+	23101095	23102120	7.06271336033629e-82	4.76388507394225e-80	-0.650323789011016
CG33217	chr3L_+_23126400_23126715	chr3L	+	23126400	23126715	6.0767067337509e-05	0.000173965535820811	-0.0657882595087183
CG33217	chr3L_+_23127489_23128258	chr3L	+	23127489	23128258	9.0630538850177e-12	5.67438398689791e-11	-0.227093471188424
nAChRalpha4	chr3L_+_23262823_23263797	chr3L	+	23262823	23263797	1.05123478234428e-25	1.6404216066896e-24	-0.525704031312645
nAChRalpha4	chr3L_+_23264364_23269402	chr3L	+	23264364	23269402	4.81476051788811e-59	2.13786126235613e-57	-0.912074432456215
alpha-Cat	chr3L_-_23325956_23326686	chr3L	-	23325956	23326686	5.62390324629683e-09	2.66002609854931e-08	-0.0743646743215022
alpha-Cat	chr3L_-_23326760_23327492	chr3L	-	23326760	23327492	1.71324017800886e-07	6.83271054936047e-07	-0.0643904478156611
alpha-Cat	chr3L_-_23327645_23328712	chr3L	-	23327645	23328712	6.25236822671483e-06	2.05101533519841e-05	-0.0756017694475293
alpha-Cat	chr3L_-_23329398_23329884	chr3L	-	23329398	23329884	0.000214586722554788	0.000568259197311902	-0.0634626809870735
alpha-Cat	chr3L_-_23331015_23334362	chr3L	-	23331015	23334362	0.00291270848480655	0.00646752583170803	-0.0748295816580963
AGO3	chr3L_+_23567214_23568545	chr3L	+	23567214	23568545	7.23015873098524e-22	9.30026459890013e-21	-0.15334600962871
CG17698	chr3L_+_23741084_23746188	chr3L	+	23741084	23746188	3.77239616366436e-06	1.2739342682634e-05	-0.405471693778145
CG40045	chr3L_+_24030857_24034876	chr3L	+	24030857	24034876	1.50185616171259e-05	4.6740531645076e-05	-0.282491093179499
CG40045	chr3L_+_24035018_24035430	chr3L	+	24035018	24035430	1.07742215036465e-05	3.41873095392837e-05	-0.295161847038557
Snap25	chr3L_+_24263188_24265376	chr3L	+	24263188	24265376	9.61407913309996e-26	1.50402254466683e-24	-0.636777127044361
Svil	chr3L_+_2444087_2444497	chr3L	+	2444087	2444497	7.02852484154984e-05	0.000199402417127636	-0.0249424627447074
mRpS5	chr3L_+_24537616_24537909	chr3L	+	24537616	24537909	5.94020796754305e-12	3.78509670705763e-11	-0.461889444857266
NONE	chr3L_-_24787882_24788571	chr3L	-	24787882	24788571	8.58996424214452e-07	3.1426827034016e-06	-0.508633101186293
CG16758	chr3L_-_2500462_2501068	chr3L	-	2500462	2501068	0.000183187600799914	0.00048986992132262	-0.165086034031902
Spn	chr3L_-_2509500_2509760	chr3L	-	2509500	2509760	0.00682731533493266	0.0142315981040449	-0.236571008391733
Set1	chr3L_+_25113571_25114032	chr3L	+	25113571	25114032	1.48315309804845e-18	1.57163035937488e-17	-0.298720282703492
Spn	chr3L_-_2511931_2512293	chr3L	-	2511931	2512293	0.000215315817711834	0.000570063330837327	-0.266029465139917
NONE	chr3L_+_25196273_25202024	chr3L	+	25196273	25202024	2.83281337912056e-09	1.38017168393442e-08	-0.107020680093702
DIP2	chr3L_-_252995_253312	chr3L	-	252995	253312	5.05940171168793e-06	1.67970446134067e-05	-0.151981704916733
DIP2	chr3L_-_255904_256212	chr3L	-	255904	256212	2.42066436991805e-10	1.32018118106875e-09	-0.23686933078674
DIP2	chr3L_-_257201_257551	chr3L	-	257201	257551	1.94952085330009e-27	3.29520618332377e-26	-0.334567304756936
l(3)80Fg	chr3L_-_25969627_25977965	chr3L	-	25969627	25977965	4.39528057315891e-17	4.22869145876534e-16	-0.413179056136094
Pxn	chr3L_-_2607874_2608139	chr3L	-	2607874	2608139	0.00210350284039042	0.00478762159119294	-0.284495483586693
Pxn	chr3L_-_2629526_2629912	chr3L	-	2629526	2629912	7.6900401568756e-14	5.8083939866071e-13	0.39929361488185
CG1246	chr3L_+_2648145_2648411	chr3L	+	2648145	2648411	2.33347995732488e-06	8.0820456256894e-06	-0.295950229621629
l(2)gl	chr2L_-_15711_17051	chr2L	-	15711	17051	6.23825497028542e-09	2.93459722829447e-08	-0.177512149081707
Fife	chr3L_-_2657672_2658212	chr3L	-	2657672	2658212	0.0035025787100952	0.00768040894166515	-0.636037980727202
Fife	chr3L_-_2667058_2670455	chr3L	-	2667058	2670455	1.12965419689702e-07	4.60068458280789e-07	-0.572435897435897
ND-B17	chr2L_-_15749851_15750186	chr2L	-	15749851	15750186	2.41620424419111e-12	1.59405969098896e-11	-0.38086012471067
vtd	chr3L_+_27156171_27157808	chr3L	+	27156171	27157808	2.35134222224153e-29	4.33607145762776e-28	-0.406264448466682
Gli	chr2L_-_15759845_15760208	chr2L	-	15759845	15760208	1.17495319451481e-05	3.70944508043841e-05	-0.249499219182771
Gli	chr2L_-_15760574_15762567	chr2L	-	15760574	15762567	1.71182774937777e-07	6.82783888527326e-07	-0.361401793467778
miple2	chr3L_+_274241_274593	chr3L	+	274241	274593	2.89046111883661e-36	6.97102038950169e-35	-0.316909958813013
Pgant6	chr3L_+_2783472_2783734	chr3L	+	2783472	2783734	2.60177207697139e-10	1.41490827695988e-09	-0.19111448228644
Tet	chr3L_-_2869589_2869939	chr3L	-	2869589	2869939	4.14610476570004e-05	0.00012145675045562	-0.599052096472117
CG31826	chr2L_-_15771751_15772026	chr2L	-	15771751	15772026	3.11192811355155e-20	3.63937614352276e-19	-0.321414293641566
Shab	chr3L_+_2941624_2947800	chr3L	+	2941624	2947800	0.000434673468435722	0.00110075627656544	-0.310413335374636
Shab	chr3L_+_2948013_2948477	chr3L	+	2948013	2948477	7.96951495228868e-11	4.56096762594698e-10	-0.412606927454291
RhoGEF3	chr3L_+_298139_298957	chr3L	+	298139	298957	3.4328274383766e-07	1.32023448115248e-06	-0.419627882599581
scramb2	chr3L_-_3045131_3045721	chr3L	-	3045131	3045721	8.69240838236568e-11	4.95821822421261e-10	-0.144750105065117
Sk2	chr3L_+_3048166_3048644	chr3L	+	3048166	3048644	7.41126624519898e-12	4.67848649385848e-11	-0.23120801068339
PAN3	chr3L_+_3083202_3083731	chr3L	+	3083202	3083731	1.4957773853839e-18	1.58465562694433e-17	-0.62489161816666
promL	chr3L_-_3116031_3117081	chr3L	-	3116031	3117081	8.69164127517366e-08	3.58873551153409e-07	-0.0735375038643979
CG11537	chr3L_-_3131204_3132307	chr3L	-	3131204	3132307	9.21222503415985e-24	1.3112503853219e-22	-0.29768470251337
CG11537	chr3L_-_3133338_3133947	chr3L	-	3133338	3133947	3.71063279100285e-29	6.78239388797793e-28	-0.47428104367513
CG32278	chr3L_+_3169364_3170943	chr3L	+	3169364	3170943	4.61006198601792e-05	0.000134155223133247	-0.294020201419186
CG32276	chr3L_-_3198431_3198750	chr3L	-	3198431	3198750	2.03577377869512e-19	2.26897740632003e-18	-0.115189803541905
CG32344	chr3L_-_321363_321913	chr3L	-	321363	321913	5.63680012370922e-17	5.38620874230788e-16	-0.542229654711633
eIF1	chr3L_+_3223927_3224312	chr3L	+	3223927	3224312	8.57406293944024e-18	8.64927189654547e-17	-0.0163333778141587
Ptpmeg	chr3L_+_328468_328987	chr3L	+	328468	328987	1.59647279944122e-08	7.17950052056606e-08	-0.786031746031746
CG12017	chr3L_+_3288185_3288981	chr3L	+	3288185	3288981	1.4881831780508e-15	1.28947633810586e-14	-0.337627772946004
CG12009	chr3L_+_3295077_3295996	chr3L	+	3295077	3295996	8.43678293295362e-06	2.71706078725002e-05	-0.167541501489934
CG12016	chr3L_+_3319905_3320513	chr3L	+	3319905	3320513	1.51673739200607e-20	1.80765176816024e-19	-0.257218501671604
mthl10	chr3L_-_333640_333940	chr3L	-	333640	333940	2.36875358849717e-07	9.28320403738553e-07	-0.178787844136727
kst	chr3L_+_3337001_3337678	chr3L	+	3337001	3337678	1.69017947052605e-08	7.57625754390711e-08	-0.409846092872431
kst	chr3L_+_3351686_3351963	chr3L	+	3351686	3351963	1.61990832550441e-08	7.27951264857276e-08	-0.33157934020003
kst	chr3L_+_3354384_3354635	chr3L	+	3354384	3354635	1.68365512364838e-15	1.4514639144901e-14	-0.327687129171753
kst	chr3L_+_3367010_3367513	chr3L	+	3367010	3367513	3.89726433511854e-08	1.67354491787549e-07	-0.354678853754941
mthl10	chr3L_-_336707_340779	chr3L	-	336707	340779	0.000342568214710578	0.000880858029931956	-0.13059906432978
mth	chr3L_-_343652_343953	chr3L	-	343652	343953	2.9779687972354e-19	3.2909016530796e-18	-0.615081759030151
eIF5B	chr3L_-_3443565_3445363	chr3L	-	3443565	3445363	2.9414944653181e-08	1.28197759150146e-07	-0.0477664391056464
mth	chr3L_-_346338_346813	chr3L	-	346338	346813	0.0088099243504503	0.0179946748704038	-0.234918512859689
CG14971	chr3L_-_3469635_3470386	chr3L	-	3469635	3470386	0.0136703350392182	0.0269499760510785	-0.0368563121793764
Eip63E	chr3L_+_3546131_3552785	chr3L	+	3546131	3552785	8.62197650247598e-16	7.59915257731779e-15	-0.516957794898971
Eip63E	chr3L_+_3593546_3594649	chr3L	+	3593546	3594649	1.62970070933953e-10	9.03828121727983e-10	-0.109910551640212
CG32264	chr3L_-_3717407_3718194	chr3L	-	3717407	3718194	0.00249032159164729	0.00559627048972603	-0.0340483128566906
CG32264	chr3L_-_3802750_3803312	chr3L	-	3802750	3803312	1.17474890156172e-05	3.70888195376762e-05	-0.657436947759528
PIG-B	chr3L_+_3811672_3811944	chr3L	+	3811672	3811944	3.54440324002707e-25	5.40247714821257e-24	0.157667693815277
enc	chr3L_+_3834627_3836020	chr3L	+	3834627	3836020	3.69922282831223e-05	0.0001090739990077	-0.193599491087844
Eip63F-1	chr3L_-_3930996_3933245	chr3L	-	3930996	3933245	2.58567713415037e-08	1.13447208734348e-07	-0.482563272877675
beat-Ib	chr2L_-_15906999_15908065	chr2L	-	15906999	15908065	0.00089512025344383	0.00216064863484601	-0.60437984496124
CG14984	chr3L_-_3951486_3951750	chr3L	-	3951486	3951750	1.01469244093367e-24	1.51593524822196e-23	-0.393514396122816
CG14984	chr3L_-_3951876_3952259	chr3L	-	3951876	3952259	5.52656111037855e-14	4.22198931326533e-13	-0.314334823220026
Mul1	chr3L_+_4022553_4022819	chr3L	+	4022553	4022819	6.78025256596843e-72	3.92398888793571e-70	-0.118059307805217
CG11594	chr3L_-_4025169_4025666	chr3L	-	4025169	4025666	1.21597631030733e-21	1.54537118999563e-20	-0.361927084337367
Faa	chr3L_-_4073369_4073752	chr3L	-	4073369	4073752	1.59716283181866e-16	1.48249207403689e-15	-0.186501767217352
CG14995	chr3L_-_4101217_4101475	chr3L	-	4101217	4101475	4.13057573923969e-128	5.08114090764047e-126	0.871666761414594
ens	chr3L_-_4132212_4133767	chr3L	-	4132212	4133767	8.38893324371784e-07	3.07329990417467e-06	-0.221288275847692
ens	chr3L_-_4133822_4134452	chr3L	-	4133822	4134452	1.95261301419372e-07	7.73390443694934e-07	-0.216563373341074
Ero1L	chr3L_+_4171477_4172223	chr3L	+	4171477	4172223	4.48104678571173e-05	0.000130629325403672	-0.0344965217413417
CG43367	chr3L_+_4200818_4205224	chr3L	+	4200818	4205224	1.59064579104301e-09	7.97323672785737e-09	-0.193728838336681
CG14997	chr3L_+_4240523_4240784	chr3L	+	4240523	4240784	8.82388484809936e-31	1.72621395037397e-29	-0.276177689132478
dyl	chr3L_-_4298770_4299342	chr3L	-	4298770	4299342	1.42508656211232e-12	9.60739757419713e-12	-0.739797760924522
PMP34	chr3L_+_4319259_4320136	chr3L	+	4319259	4320136	4.39739377901398e-39	1.16458486412598e-37	-0.148439572821565
Cip4	chr3L_-_4325410_4326982	chr3L	-	4325410	4326982	8.52669557118821e-08	3.52327405249825e-07	-0.261624626674073
Cip4	chr3L_-_4336319_4338065	chr3L	-	4336319	4338065	7.27425765282996e-09	3.39648954583703e-08	-0.262939245050714
CG15024	chr3L_-_4463365_4463719	chr3L	-	4463365	4463719	1.78248709023861e-16	1.64884089666298e-15	-0.891333598650672
Tie	chr3L_-_4511546_4512176	chr3L	-	4511546	4512176	3.42197072524195e-12	2.22497304838438e-11	-0.293796103016052
CG11353	chr3L_+_4536363_4536888	chr3L	+	4536363	4536888	1.18530120356158e-15	1.03442891103724e-14	-0.539249326147249
Src64B	chr3L_-_4625393_4625935	chr3L	-	4625393	4625935	0.0261491427729388	0.0487084131251982	-0.12895727997698
axo	chr3L_-_4646180_4646822	chr3L	-	4646180	4646822	2.50438764256781e-11	1.50099586801978e-10	-0.839170506912442
axo	chr3L_-_4656774_4659478	chr3L	-	4656774	4659478	1.51370983295005e-05	4.70889524758455e-05	-0.633318277627221
axo	chr3L_-_4660409_4664125	chr3L	-	4660409	4664125	1.09022026457678e-07	4.44882261135263e-07	-0.707217008930595
axo	chr3L_-_4664953_4670116	chr3L	-	4664953	4670116	6.05603267626903e-08	2.54748679446561e-07	-0.75228640632896
axo	chr3L_-_4670402_4671824	chr3L	-	4670402	4671824	0.00181509792447741	0.00417390248926988	-0.696560846560847
axo	chr3L_-_4671961_4673171	chr3L	-	4671961	4673171	0.000911886264852252	0.00219867020468227	-0.730848861283644
axo	chr3L_-_4675947_4686857	chr3L	-	4675947	4686857	4.6200453782156e-10	2.45182198972118e-09	-0.712737168232524
