Gene	AS_event_ID	chromosome	strand	upstream_exon_end_coor	cassette_exon_start_coor	cassette_exon_end_coor	downstream_exon_start_coor	pvalue	qvalue	deltaPSI_control-KD
Ndf	chr2L_+_10004126_10004534_10004571_10005422	chr2L	+	10004126	10004534	10004571	10005422	1.41062178719373e-22	1.89013014295293e-21	0.0574686537621757
CG7956	chr3R_+_21524649_21525084_21525418_21525525	chr3R	+	21524649	21525084	21525418	21525525	0.0230541345479286	0.0434386599284679	0.0231130566974694
NONE	chr3R_-_2174501_2175230_2175407_2183733	chr3R	-	2174501	2175230	2175407	2183733	5.49390363980563e-13	3.84567878620781e-12	0.63287037037037
lsn	chr3R_+_21854543_21865117_21865186_21865268	chr3R	+	21854543	21865117	21865186	21865268	3.52680281699242e-05	0.000104279945894431	-0.696825396825397
CG6656	chr3R_+_21874977_21875451_21875810_21876346	chr3R	+	21874977	21875451	21875810	21876346	2.67645186292588e-08	1.17196348346483e-07	0.253013798111837
Dhc36C	chr2L_+_17510439_17510561_17511608_17511821	chr2L	+	17510439	17510561	17511608	17511821	3.32366711922502e-118	3.59680115540702e-116	0.320954576762066
SKIP	chr3R_+_22149422_22159892_22160093_22173930	chr3R	+	22149422	22159892	22160093	22173930	0.0135668447296176	0.0267621795849432	-0.205653944414909
SKIP	chr3R_+_22280885_22281846_22281903_22284876	chr3R	+	22280885	22281846	22281903	22284876	0.0438638403203376	0.0776103052498705	0.0613424047729235
CG33107	chr3R_-_22583523_22583594_22583641_22583697	chr3R	-	22583523	22583594	22583641	22583697	2.24521592199637e-61	1.05522197984392e-59	0.430571850863016
Sytalpha	chr2L_+_17601148_17601452_17601843_17601910	chr2L	+	17601148	17601452	17601843	17601910	0.029357912709771	0.054065269021184	0.0673740053050399
CadN	chr2L_-_17664224_17665378_17668110_17708032	chr2L	-	17664224	17665378	17668110	17708032	2.61837493194478e-08	1.14811411182073e-07	0.369955908289242
pnt	chr3R_-_23313558_23337895_23337986_23340180	chr3R	-	23313558	23337895	23337986	23340180	0.0491607500948381	0.0860543203950608	0.0514888125057616
Lsd-1	chr3R_+_23764959_23765511_23765696_23765874	chr3R	+	23764959	23765511	23765696	23765874	0.00214202553654251	0.00486948994724335	0.0773233542572026
mbc	chr3R_+_23782388_23789927_23790039_23792065	chr3R	+	23782388	23789927	23790039	23792065	2.61221131405386e-05	7.8678161526306e-05	0.0248583838747773
Gdh	chr3R_-_23936645_23936980_23937019_23937421	chr3R	-	23936645	23936980	23937019	23937421	3.56066157671354e-06	1.20551516426294e-05	0.0972401168740902
CG31140	chr3R_+_23973554_23974151_23975678_23976164	chr3R	+	23973554	23974151	23975678	23976164	0.0154189662722343	0.030101511841529	-0.107830687830688
CG13605	chr3R_-_24110274_24110332_24110548_24110761	chr3R	-	24110274	24110332	24110548	24110761	3.99711942997279e-05	0.000117315750477931	0.0102760296529857
p38a	chr3R_-_24151996_24152093_24152141_24152239	chr3R	-	24151996	24152093	24152141	24152239	0.00265561378132022	0.00593731313211328	0.152944333407358
Myo95E	chr3R_-_24159326_24159390_24159404_24159474	chr3R	-	24159326	24159390	24159404	24159474	0.0195065135984253	0.0372836320834352	-0.290253831417625
jar	chr3R_-_24259249_24259395_24261469_24270897	chr3R	-	24259249	24259395	24261469	24270897	8.23916751367381e-08	3.41027734398863e-07	-0.019877163253855
BRWD3	chr3R_+_24319621_24320016_24320076_24320666	chr3R	+	24319621	24320016	24320076	24320666	5.96811548215802e-16	5.31479908708033e-15	0.12727401296633
CG5746	chr3R_-_24344142_24346194_24346760_24346815	chr3R	-	24344142	24346194	24346760	24346815	3.23367659060243e-17	3.14260381603115e-16	0.241477272727273
puf	chr3R_-_24640969_24641030_24641218_24641275	chr3R	-	24640969	24641030	24641218	24641275	4.1703495354367e-06	1.39928440812823e-05	0.0117599337058083
ssh	chr3R_-_24942397_24942460_24942526_24942817	chr3R	-	24942397	24942460	24942526	24942817	1.52487017180584e-116	1.61356528298247e-114	0.0783468406065904
Ythdf	chr3R_-_25038516_25038652_25038674_25038844	chr3R	-	25038516	25038652	25038674	25038844	2.48261793233035e-14	1.94946622685608e-13	0.150367807348726
rdo	chr2L_+_18067229_18067640_18067772_18068799	chr2L	+	18067229	18067640	18067772	18068799	0.000380660144479278	0.000972234850390677	0.0433576335870304
Cad96Ca	chr3R_-_25198978_25201559_25201648_25202294	chr3R	-	25198978	25201559	25201648	25202294	1.3741658407447e-05	4.29863256746184e-05	0.231157731157731
msi	chr3R_+_25595602_25597098_25597214_25599505	chr3R	+	25595602	25597098	25597214	25599505	9.16526981210967e-07	3.34153965443338e-06	-0.0766482413930516
kel	chr2L_-_18134826_18135573_18135975_18137475	chr2L	-	18134826	18135573	18135975	18137475	0.00796871332223093	0.0164076451848197	0.0111813796267207
CG33970	chr3R_+_26349073_26349601_26349864_26350078	chr3R	+	26349073	26349601	26349864	26350078	2.02666035940389e-06	7.06900082060068e-06	0.0894695233669321
CG5455	chr3R_+_26468087_26468145_26469003_26469282	chr3R	+	26468087	26468145	26469003	26469282	3.34428570634295e-14	2.60082023424792e-13	0.0261190775291412
scrib	chr3R_+_26566575_26566923_26567226_26567286	chr3R	+	26566575	26566923	26567226	26567286	2.86987702475019e-06	9.83274467546848e-06	0.0187624885598442
CG14252	chr3R_+_26946155_26946216_26946270_26946329	chr3R	+	26946155	26946216	26946270	26946329	4.04497419443623e-07	1.5415295369015e-06	0.0116558476440023
Spag1	chr3R_+_26948667_26948723_26948851_26948909	chr3R	+	26948667	26948723	26948851	26948909	1.04546594754896e-07	4.27570796489935e-07	0.00585865335901625
Tsp97E	chr3R_-_26962451_26962539_26963080_26963156	chr3R	-	26962451	26962539	26963080	26963156	3.90810271160659e-06	1.31713068937616e-05	-0.0651682291303509
TfIIA-L	chr3R_+_27254728_27255015_27255024_27255088	chr3R	+	27254728	27255015	27255024	27255088	2.2226971613405e-09	1.09526382630117e-08	-0.0416758086364449
CG3339	chr3R_-_27314534_27315639_27315854_27316081	chr3R	-	27314534	27315639	27315854	27316081	0.000797664863619758	0.00194040444897888	0.15421052631579
side	chr3R_-_27384469_27387059_27387234_27388453	chr3R	-	27384469	27387059	27387234	27388453	7.80125097916956e-12	4.91123507187641e-11	0.460863697705803
side	chr3R_-_27388681_27389615_27389766_27390888	chr3R	-	27388681	27389615	27389766	27390888	2.23792355828646e-09	1.10234918035634e-08	0.38375350140056
Klp98A	chr3R_-_27550481_27550584_27550707_27550871	chr3R	-	27550481	27550584	27550707	27550871	8.36864231085306e-132	1.08055184436812e-129	0.523835287595792
Klp98A	chr3R_-_27552344_27552546_27552716_27552779	chr3R	-	27552344	27552546	27552716	27552779	1.35762529421349e-07	5.47876801994019e-07	0.048994227131879
CG34353	chr3R_-_27789112_27797383_27797584_27804323	chr3R	-	27789112	27797383	27797584	27804323	0.00624671140716766	0.0131103412369075	0.158650333118418
Doa	chr3R_+_28921549_28921614_28921668_28922173	chr3R	+	28921549	28921614	28921668	28922173	3.94421909437763e-10	2.10778738380352e-09	0.0654562675998238
Vha100-1	chr3R_+_29136699_29136904_29136910_29137074	chr3R	+	29136699	29136904	29136910	29137074	5.1447206620055e-06	1.70656476335912e-05	-0.0606373347581994
Usp1	chr3R_+_29229577_29230324_29230810_29231079	chr3R	+	29229577	29230324	29230810	29231079	1.567272707429e-05	4.86610318624122e-05	0.0151738619582745
Cnx99A	chr3R_-_29317511_29317835_29317969_29318067	chr3R	-	29317511	29317835	29317969	29318067	4.50223387518425e-82	3.04254882909475e-80	0.0285399562178426
CG7903	chr3R_-_29994739_29994792_29995078_29995148	chr3R	-	29994739	29994792	29995078	29995148	2.45359595175192e-20	2.88597592075505e-19	0.125348899136057
Tace	chr3R_+_30001706_30001824_30001963_30002149	chr3R	+	30001706	30001824	30001963	30002149	8.04131404206717e-11	4.59893084994722e-10	-0.602688172043011
Axn	chr3R_+_30025539_30030763_30031046_30031110	chr3R	+	30025539	30030763	30031046	30031110	1.14789388037199e-05	3.62825969028187e-05	0.0244564178711274
Axn	chr3R_+_30032112_30032673_30032811_30032929	chr3R	+	30032112	30032673	30032811	30032929	1.67246598305641e-26	2.71403894509961e-25	-0.462255565125556
CG10413	chr2L_-_18601548_18601608_18602876_18603705	chr2L	-	18601548	18601608	18602876	18603705	7.52589015080594e-15	6.15810997789351e-14	0.0225694528606063
sima	chr3R_+_30067834_30067897_30068064_30068312	chr3R	+	30067834	30067897	30068064	30068312	0.0238916473238499	0.0448672849232651	0.00667793547440676
CG11498	chr3R_-_30153605_30154753_30154883_30155057	chr3R	-	30153605	30154753	30154883	30155057	1.07780103638862e-11	6.69915833818055e-11	0.857142857142857
CG2224	chr3R_-_30457778_30457839_30458212_30458269	chr3R	-	30457778	30457839	30458212	30458269	7.23453559372732e-10	3.76391592181615e-09	0.186925878651664
CG10338	chr2L_+_18694838_18695649_18696208_18696566	chr2L	+	18694838	18695649	18696208	18696566	3.54110358080202e-13	2.52280485376157e-12	0.162483028549212
Gprk2	chr3R_+_31433888_31453310_31454256_31454393	chr3R	+	31433888	31453310	31454256	31454393	2.49384360872716e-10	1.35837503392398e-09	0.0622995238379853
heph	chr3R_-_31851987_31852097_31852175_31852590	chr3R	-	31851987	31852097	31852175	31852590	6.65209001566456e-21	8.09935834894498e-20	0.0067742186828198
ham	chr2L_-_18776374_18776471_18776603_18779803	chr2L	-	18776374	18776471	18776603	18779803	5.29809987668793e-36	1.2662334793827e-34	0.342951440514224
Gfat1	chr3R_+_4133919_4134145_4134172_4134365	chr3R	+	4133919	4134145	4134172	4134365	0.0100452491837586	0.0202979269957379	0.250779857397504
CG9795	chr3R_+_4324164_4324336_4324510_4324586	chr3R	+	4324164	4324336	4324510	4324586	0.000473091688478317	0.0011913187003056	-0.114685176918394
Cdep	chr3R_+_4923828_4925545_4925652_4925892	chr3R	+	4923828	4925545	4925652	4925892	7.13047430889579e-09	3.33281204428543e-08	0.0939170134165138
CG1124	chr3R_+_4964427_4967128_4967238_4967619	chr3R	+	4964427	4967128	4967238	4967619	2.77767582107257e-23	3.85736180999734e-22	0.758324471227697
mtd	chr3R_-_5299573_5304110_5304182_5312987	chr3R	-	5299573	5304110	5304182	5312987	0.00761678047184317	0.0157435105312977	0.098360642343008
Atg17	chr3R_+_5677602_5677664_5677764_5678012	chr3R	+	5677602	5677664	5677764	5678012	1.95821954132983e-06	6.84529933198483e-06	0.0265111558391
plx	chr3R_+_5687369_5697026_5697485_5707182	chr3R	+	5687369	5697026	5697485	5707182	0.000205663585921462	0.00054610518683448	0.070091098241059
Hat1	chr3R_-_5788944_5789077_5789166_5789327	chr3R	-	5788944	5789077	5789166	5789327	1.86518925050794e-307	8.60778822369896e-305	-0.647428700836503
Rpn5	chr3R_+_5789218_5789517_5789710_5789768	chr3R	+	5789218	5789517	5789710	5789768	3.52085013869136e-06	1.19285505539522e-05	0.0113438092668623
EMC5	chr2L_+_18987870_18987935_18987988_18988055	chr2L	+	18987870	18987935	18987988	18988055	6.54991559757367e-06	2.14130647163292e-05	0.0030911490486053
gpp	chr3R_+_6444310_6445534_6446072_6446458	chr3R	+	6444310	6445534	6446072	6446458	4.10453251875286e-34	9.17803751583088e-33	0.398778258776854
Taf1	chr3R_+_6653290_6654022_6654121_6654468	chr3R	+	6653290	6654022	6654121	6654468	1.02981880300867e-93	8.09950507056802e-92	0.703017766074542
pb	chr3R_-_6710961_6711503_6711618_6711791	chr3R	-	6710961	6711503	6711618	6711791	0.000597598992453062	0.00148217645463585	0.0513534361576745
Alh	chr3R_-_7099522_7101136_7101497_7101597	chr3R	-	7099522	7101136	7101497	7101597	0.0378436280145943	0.068009858407928	0.0147655119946176
sas	chr3R_+_7179641_7180013_7181048_7181555	chr3R	+	7179641	7180013	7181048	7181555	9.23968881020427e-09	4.26601316705307e-08	-0.168815147526476
lap	chr3R_+_7190266_7190720_7190796_7191130	chr3R	+	7190266	7190720	7190796	7191130	2.97993583319624e-49	1.07223727374343e-47	0.117462155925887
lap	chr3R_+_7196393_7197569_7197659_7198326	chr3R	+	7196393	7197569	7197659	7198326	3.51124332361012e-05	0.000103843493374325	0.0392052278082231
CG14609	chr3R_+_7202694_7202782_7202940_7202996	chr3R	+	7202694	7202782	7202940	7202996	2.17566325032104e-43	6.5763593332755e-42	0.0439762294567235
Nlg3	chr3R_-_7578418_7578965_7579358_7579685	chr3R	-	7578418	7578965	7579358	7579685	6.18495493363024e-08	2.59904359707703e-07	0.180312029777461
CG34384	chr3R_+_7852779_7852937_7853192_7883882	chr3R	+	7852779	7852937	7853192	7883882	2.54040506631753e-13	1.83130358967878e-12	0.0674213896006437
CG17816	chr3R_-_7864677_7864795_7864914_7865149	chr3R	-	7864677	7864795	7864914	7865149	2.28921159393005e-14	1.80254151287362e-13	0.166464032421479
EMC1	chr3R_-_7905385_7905690_7905711_7905783	chr3R	-	7905385	7905690	7905711	7905783	0.00039372606259648	0.00100336709630209	-0.0450458164097049
lncRNA:CR44330	chr3R_+_8089857_8089915_8089951_8090004	chr3R	+	8089857	8089915	8089951	8090004	0.00333694099053536	0.00734150623387133	0.0294232146750133
ScsbetaA	chr3R_+_8941189_8941313_8941316_8941406	chr3R	+	8941189	8941313	8941316	8941406	3.99012079982241e-13	2.82833395484216e-12	0.018280445700662
Aduk	chr3R_-_9333660_9333720_9333945_9334292	chr3R	-	9333660	9333720	9333945	9334292	9.91938952016025e-09	4.56407404339306e-08	0.0541048702317992
pasi2	chr3R_+_9336029_9336157_9336252_9336481	chr3R	+	9336029	9336157	9336252	9336481	1.40608200932606e-11	8.64496611724713e-11	0.114091608621027
CG45050	chr3R_+_9358176_9358255_9358571_9358627	chr3R	+	9358176	9358255	9358571	9358627	5.42848213893279e-135	7.29221003496976e-133	0.0365631735444257
side-VII	chr3R_-_9736271_9736338_9736472_9736531	chr3R	-	9736271	9736338	9736472	9736531	1.38964169044301e-19	1.56418331079103e-18	0.204653228941085
Wdr62	chr2L_+_1937583_1937865_1937910_1938506	chr2L	+	1937583	1937865	1937910	1938506	1.82649818024685e-10	1.00839785304224e-09	0.061501157316133
Wdr62	chr2L_+_1938619_1941581_1941677_1941753	chr2L	+	1938619	1941581	1941677	1941753	0.000335956417660993	0.000864991792247859	0.00723938402199698
CG17549	chr2L_-_19387769_19387861_19387936_19388038	chr2L	-	19387769	19387861	19387936	19388038	1.41707235834895e-68	7.65315363815911e-67	0.063180628561319
sv	chr4_+_1108572_1109108_1109600_1110779	chr4	+	1108572	1109108	1109600	1110779	3.32778116145929e-05	9.87422345915197e-05	0.784236596736597
Arf102F	chr4_+_1124331_1124435_1124698_1124766	chr4	+	1124331	1124435	1124698	1124766	2.23677997520313e-16	2.05287843451669e-15	0.00752007032585411
CG32017	chr4_-_1140000_1140083_1140266_1140485	chr4	-	1140000	1140083	1140266	1140485	0.000310377805803677	0.000803326827851602	-0.486904761904762
CG32017	chr4_-_1141367_1143448_1143565_1143625	chr4	-	1141367	1143448	1143565	1143625	1.41042926489145e-09	7.10974427794759e-09	0.528035178035178
PIP4K	chr4_-_1192770_1193559_1193654_1193706	chr4	-	1192770	1193559	1193654	1193706	0.0341271557832278	0.0619477624881618	0.00797768935978327
Mitf	chr4_+_1220688_1221261_1221282_1221489	chr4	+	1220688	1221261	1221282	1221489	4.96037660704842e-08	2.10566529853058e-07	-0.295066897112721
anne	chr4_+_137167_137222_137332_137389	chr4	+	137167	137222	137332	137389	0.0271199905266843	0.0503418189034729	-0.0143009033640255
ABCD	chr4_-_188169_188229_188369_188423	chr4	-	188169	188229	188369	188423	2.22989286303481e-16	2.04721422420081e-15	0.118656754154732
PMCA	chr4_-_349679_349729_350043_350601	chr4	-	349679	349729	350043	350601	3.39402422881568e-11	2.00853229481401e-10	0.014835054969613
Hcf	chr4_+_371357_371812_372176_372248	chr4	+	371357	371812	372176	372248	1.24516917036197e-34	2.83751006990546e-33	0.0644754075625378
Hs2st	chr2L_-_19443547_19443630_19444427_19444491	chr2L	-	19443547	19443630	19444427	19444491	2.9369710113145e-66	1.52347650747896e-64	0.317566436427473
Eph	chr4_+_616181_617303_617351_618346	chr4	+	616181	617303	617351	618346	0.00597843369430314	0.0125912530626809	0.0533134121948473
bt	chr4_+_726029_726661_726683_727459	chr4	+	726029	726661	726683	727459	3.0547570251481e-07	1.18223335795752e-06	0.029106783243899
bt	chr4_+_737909_738952_738988_742401	chr4	+	737909	738952	738988	742401	2.02620560552746e-29	3.74954182834279e-28	0.219555973897763
eIF4G1	chr4_-_921199_925082_925138_925573	chr4	-	921199	925082	925138	925573	1.85189846947442e-41	5.27874083755507e-40	0.0613327632055302
ref(2)P	chr2L_+_19545001_19545062_19545101_19545155	chr2L	+	19545001	19545062	19545101	19545155	1.7875158375927e-20	2.11977093658291e-19	0.00413820873462989
Evi5	chrX_-_11436396_11436774_11436792_11437021	chrX	-	11436396	11436774	11436792	11437021	6.73498477509128e-09	3.15757451044948e-08	-0.110785151568283
CG2247	chrX_-_11609307_11609401_11609713_11610200	chrX	-	11609307	11609401	11609713	11610200	7.89349929618486e-204	1.89475769011643e-201	-0.457566107938819
bif	chrX_+_11684254_11687461_11687635_11689199	chrX	+	11684254	11687461	11687635	11689199	4.36313658787704e-16	3.92657591248689e-15	0.0451767482096419
bif	chrX_+_11689543_11692798_11693177_11693545	chrX	+	11689543	11692798	11693177	11693545	5.5283329157327e-07	2.06964780631394e-06	0.257556416647029
Lar	chr2L_+_19717454_19719702_19719999_19725893	chr2L	+	19717454	19719702	19719999	19725893	2.80275593231397e-11	1.67288361926057e-10	0.216335121458236
CG10353	chrX_-_11879331_11879397_11879603_11879669	chrX	-	11879331	11879397	11879603	11879669	2.85835187217646e-07	1.10961726926181e-06	0.0374833213644331
Lsm12a	chrX_+_12019758_12019824_12019941_12020005	chrX	+	12019758	12019824	12019941	12020005	2.32567805017213e-05	7.04931893832127e-05	0.0153039256001336
CG10628	chr2L_-_19758472_19758531_19758609_19760721	chr2L	-	19758472	19758531	19758609	19760721	6.59583543038401e-21	8.03291563814129e-20	0.20514771610548
Sec16	chrX_+_12600441_12601582_12601897_12603008	chrX	+	12600441	12601582	12601897	12603008	2.1739746524992e-06	7.55575418908112e-06	0.128242411310619
Sec16	chrX_+_12605388_12605802_12606153_12607696	chrX	+	12605388	12605802	12606153	12607696	0.00762598257503273	0.0157607091734609	0.0465318051509269
CG4645	chrX_+_12910959_12911023_12911116_12911411	chrX	+	12910959	12911023	12911116	12911411	1.21560832188095e-07	4.93291133063613e-07	0.0192402714817956
hep	chrX_-_13083098_13084244_13084570_13085594	chrX	-	13083098	13084244	13084570	13085594	0.000767436161042665	0.00187180317347599	0.167749164349384
sno	chrX_-_13198975_13199047_13199482_13199537	chrX	-	13198975	13199047	13199482	13199537	0.00866194504269111	0.0177159431240984	0.00155831647902716
CG1640	chrX_+_13377947_13378012_13378275_13378545	chrX	+	13377947	13378012	13378275	13378545	1.90381033140644e-07	7.54771161260131e-07	0.0026728126310448
RhoGAP1A	chrX_+_134760_136054_136075_136633	chrX	+	134760	136054	136075	136633	0.0286113627439218	0.0528333798808503	0.0932548934443348
CG46311	chrX_+_13584397_13584860_13585040_13585689	chrX	+	13584397	13584860	13585040	13585689	4.84719015281544e-26	7.69568762648305e-25	0.110658595641646
NFAT	chrX_+_13650067_13652878_13653505_13654782	chrX	+	13650067	13652878	13653505	13654782	0.031590295044393	0.0577962296054918	0.0835900040141988
NFAT	chrX_+_13656034_13658107_13658645_13660738	chrX	+	13656034	13658107	13658645	13660738	2.59421687586968e-07	1.01177428474298e-06	-0.150800508451631
Grip91	chrX_-_13741977_13742048_13742241_13742314	chrX	-	13741977	13742048	13742241	13742314	1.25475610017863e-10	7.04791624326483e-10	0.0845065831135635
inaE	chrX_+_13801773_13801901_13802338_13802590	chrX	+	13801773	13801901	13802338	13802590	1.61810887317127e-12	1.08488671774006e-11	0.377217761918922
inaE	chrX_+_13803850_13803908_13804050_13804121	chrX	+	13803850	13803908	13804050	13804121	0.000249777540426812	0.000655276145519619	0.0953563258444731
RhoGAP1A	chrX_+_138705_138769_138930_139065	chrX	+	138705	138769	138930	139065	0.00040083146367614	0.00102036570319152	0.0294343145802033
Fbxl4	chrX_-_14236714_14236845_14236939_14236992	chrX	-	14236714	14236845	14236939	14236992	9.8142174041162e-05	0.000272776251374989	0.0678867146010932
dpr8	chrX_+_14425356_14444316_14444527_14452967	chrX	+	14425356	14444316	14444527	14452967	0.00914268551877845	0.0186206531669398	0.377777777777778
Flo2	chrX_+_14924413_14925645_14925684_14926764	chrX	+	14924413	14925645	14925684	14926764	3.13047770865948e-08	1.35904188539073e-07	0.274374138674806
spen	chr2L_+_199743_199902_199983_200118	chr2L	+	199743	199902	199983	200118	7.58121551940618e-31	1.48615924509225e-29	-0.473601056571631
sd	chrX_+_15820553_15821008_15821773_15823185	chrX	+	15820553	15821008	15821773	15823185	0.000394239119141759	0.0010046029841814	0.0326717733513814
sun	chrX_-_15848004_15848297_15848347_15848884	chrX	-	15848004	15848297	15848347	15848884	0.000290330072040019	0.000754592352051691	-0.248460970645568
UBL3	chrX_-_15850710_15851087_15851196_15851583	chrX	-	15850710	15851087	15851196	15851583	4.9800420604746e-38	1.28026008506692e-36	0.104016245845331
shi	chrX_+_15899074_15899443_15899455_15901542	chrX	+	15899074	15899443	15899455	15901542	9.65694114592199e-114	9.81222037002971e-112	-0.494404283121715
caz	chrX_+_16288957_16289026_16289158_16289224	chrX	+	16288957	16289026	16289158	16289224	0.000137361710942975	0.000374179169716594	0.0426781229354014
CG3632	chrX_+_16301917_16302209_16302412_16302905	chrX	+	16301917	16302209	16302412	16302905	0.00440602707541876	0.0094977075927813	0.0619858425965996
rngo	chrX_+_16441426_16441490_16442020_16443491	chrX	+	16441426	16441490	16442020	16443491	0.000910462502647721	0.00219545934498801	-0.00531499270379876
eIF4H1	chrX_+_16451559_16451701_16451791_16451917	chrX	+	16451559	16451701	16451791	16451917	5.99733708846081e-48	2.07748918456067e-46	0.480847750360468
RluA-1	chr2L_-_10465094_10465288_10466158_10466213	chr2L	-	10465094	10465288	10466158	10466213	6.78335816921018e-06	2.21276957639575e-05	0.213321848980764
Ankle2	chrX_-_17576022_17578512_17578767_17579103	chrX	-	17576022	17578512	17578767	17579103	4.86451964205706e-05	0.000141066533845067	0.0248172995175165
raskol	chrX_+_17720699_17720947_17720974_17721421	chrX	+	17720699	17720947	17720974	17721421	0.000619647325792627	0.00153316658337276	-0.15515783987539
Adar	chrX_+_1780825_1781717_1781883_1782934	chrX	+	1780825	1781717	1781883	1782934	5.11021737249742e-05	0.000147739342867328	0.125927072583419
mnb	chrX_-_17870657_17872618_17872753_17873253	chrX	-	17870657	17872618	17872753	17873253	2.44619254137669e-43	7.37694118337932e-42	0.116117686056425
scu	chrX_+_18091390_18091554_18091654_18091950	chrX	+	18091390	18091554	18091654	18091950	2.48812125410207e-11	1.49168410969643e-10	0.13703523688746
Rip11	chrX_-_18636319_18636613_18636873_18637411	chrX	-	18636319	18636613	18636873	18637411	3.65225962324222e-20	4.25667511804093e-19	-0.278005600580284
CG7378	chrX_+_18900960_18906074_18906134_18907497	chrX	+	18900960	18906074	18906134	18907497	2.41133804770719e-17	2.36398044581088e-16	0.355181682593963
CG7990	chrX_-_19199464_19199826_19199885_19201462	chrX	-	19199464	19199826	19199885	19201462	1.63855069051731e-05	5.07430387228974e-05	0.538854896765248
Ulp1	chrX_-_19204936_19205072_19207792_19208032	chrX	-	19204936	19205072	19207792	19208032	2.42371672502672e-05	7.32940052736737e-05	0.00927450860279555
Vav	chrX_+_19262593_19263132_19263314_19263879	chrX	+	19262593	19263132	19263314	19263879	9.56411202531395e-13	6.54992878309964e-12	0.0709551743220808
Vav	chrX_+_19263955_19269256_19269365_19269482	chrX	+	19263955	19269256	19269365	19269482	2.87255639341873e-10	1.55566267126493e-09	0.0767625286067909
lncRNA:CR43607	chr2L_-_20437624_20437694_20437881_20438337	chr2L	-	20437624	20437694	20437881	20438337	0.000546813853203754	0.00136399799652576	0.321192937379838
tyn	chrX_+_197988_198051_198346_198432	chrX	+	197988	198051	198346	198432	0.011544299085192	0.0230785965418431	0.0584081090063143
AnxB10	chrX_-_20171648_20171928_20171931_20172039	chrX	-	20171648	20171928	20171931	20172039	0.00787865592588816	0.0162400621641564	-0.108630030042902
RhoGAP19D	chrX_-_20476811_20477112_20477187_20477264	chrX	-	20476811	20477112	20477187	20477264	0.000522141275599274	0.00130605156835973	0.18391451666531
Ntf-2	chrX_+_21035721_21035830_21036090_21036397	chrX	+	21035721	21035830	21036090	21036397	1.71082742574898e-15	1.47435585107736e-14	-0.0220902472897831
CG2614	chr2L_+_20658155_20658211_20658404_20658460	chr2L	+	20658155	20658211	20658404	20658460	1.27142245796041e-06	4.55169367212973e-06	0.0673917564657072
ABCA	chrX_-_21298934_21299543_21299609_21300149	chrX	-	21298934	21299543	21299609	21300149	5.34927803551183e-10	2.82061445110005e-09	0.0914133695150524
CG1801	chrX_-_21313884_21313939_21314083_21314149	chrX	-	21313884	21313939	21314083	21314149	2.19366866783528e-12	1.45354552496497e-11	0.0275897766668546
sol	chrX_+_21356647_21356706_21356973_21357043	chrX	+	21356647	21356706	21356973	21357043	2.1290786553363e-06	7.40673350712557e-06	0.0855511908506267
CG14613	chrX_-_22470978_22471141_22471287_22471347	chrX	-	22470978	22471141	22471287	22471347	1.66109822915459e-16	1.53973925784484e-15	0.0151103935463474
CG12576	chrX_-_22476452_22477178_22477483_22480510	chrX	-	22476452	22477178	22477483	22480510	0.000157724938512997	0.000425959161162522	0.0174401859368086
Cp110	chrX_+_22484526_22485236_22485326_22485400	chrX	+	22484526	22485236	22485326	22485400	1.5991738544274e-12	1.07284505655241e-11	0.0560261051120168
Cda4	chrX_-_22590882_22605245_22605388_22610800	chrX	-	22590882	22605245	22605388	22610800	1.02853328309019e-12	7.02099845462427e-12	0.396825396825397
Coa7	chrX_+_23013681_23013818_23014108_23014451	chrX	+	23013681	23013818	23014108	23014451	9.70215438438206e-12	6.05808752988493e-11	0.041714266222832
boi	chrX_-_2445593_2445860_2446181_2446409	chrX	-	2445593	2445860	2446181	2446409	1.3618115502226e-07	5.49502771459727e-07	0.355040485432642
trol	chrX_-_2484089_2484217_2484247_2484331	chrX	-	2484089	2484217	2484247	2484331	2.02764913573724e-05	6.19717567038629e-05	-0.0445761601967903
trol	chrX_-_2492420_2492654_2492885_2492986	chrX	-	2492420	2492654	2492885	2492986	0.00108352578917196	0.00258080603193424	-0.0767542220218778
trol	chrX_-_2521788_2522223_2522421_2523403	chrX	-	2521788	2522223	2522421	2523403	5.43628671822919e-11	3.15819427863535e-10	0.0384617533693019
sgg	chrX_+_2670103_2670173_2670257_2671119	chrX	+	2670103	2670173	2670257	2671119	1.58313162156228e-10	8.7915977915995e-10	0.00511725664583917
Ptp4E	chrX_+_4948197_4948392_4948429_4948988	chrX	+	4948197	4948392	4948429	4948988	3.04930166021296e-06	1.0415062138106e-05	-0.0774531534641829
rg	chrX_+_5243486_5243882_5244050_5246521	chrX	+	5243486	5243882	5244050	5246521	0.0079000263500261	0.0162807457467608	-0.186611884116421
SPR	chrX_+_5480963_5487373_5487435_5491530	chrX	+	5480963	5487373	5487435	5491530	1.27908761831865e-14	1.02879288821689e-13	0.461363636363636
Ca-alpha1T	chrX_-_6128619_6130563_6130656_6131802	chrX	-	6128619	6130563	6130656	6131802	1.1992930739473e-06	4.30650998547215e-06	0.212718762718763
CG34417	chrX_+_6585950_6586956_6587104_6588065	chrX	+	6585950	6586956	6587104	6588065	0.01195660567129	0.0238349078790731	0.0605798641974868
C3G	chrX_-_6786812_6787095_6787248_6787349	chrX	-	6786812	6787095	6787248	6787349	3.00028730188627e-09	1.45809193069182e-08	0.124515312592522
