Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
gish	chr3R_+_16268020_16268076_16268081_16268099_16272499_16272853_16273330_16273707_16273999_16274150_16275169_16281011_16281024_16282079_16282408_16283019_16289373_16289440_16289629_16289839_16292474_16292550_16292722_16292834_16293985_16294000_16294153_16295667_16295670_16295820_16296660	chr3R	+	16268020;16268076;16268081;16268099;16272499;16272853;16273330;16273707;16273999;16274150;16275169;16281011;16281024;16282079;16282408;16283019;16289373;16289440;16289629;16289839;16292474;16292550;16292722;16292834;16293985;16294000;16294153;16295667;16295670;16295820;16296660	1.34340242676703e-32	3.07122830241782e-30	-0.0363666666666667;-0.0016;0.00223333333333333;0.0312;0.0068;-0.00223333333333333;-0.00126666666666667;-0.0823333333333334;-0.00363333333333333;0.0855;0.0018;-0.117466666666667;0.0375666666666667;0.0798666666666666;-0.00103333333333333;0.00123333333333331;-0.000166666666666667;-0.0008;-0.00503333333333334;-0.023066666666667;0.0288666666666667;0.206666666666667;0.0899666666666667;0.100033333333333;-0.3168;-0.0798;-0.00173333333333333;0.00183333333333333;0.000866666666666571;-0.000999999999999999;-0.0002;0.00106666666666655;-0.000866666666666667;-0.0239333333333333;0.000366666666666667;0.0237;0.0057;-0.00586666666666667
gish	chr3R_+_16274875_16274879_16274881_16274885_16274952_16274961_16275010	chr3R	+	16274875;16274879;16274881;16274885;16274952;16274961;16275010	0.0337332623239193	0.143875025832101	0.0133333333333334;-3.33333333333333e-05;-0.0102333333333332;-0.00313333333333332;0.00799999999999979;-0.008;-0.000533333333333275;0.000533333333333333
CG45691	chr2L_-_17318737_17320109_17320186_17320249_17320265_17320394	chr2L	-	17318737;17320109;17320186;17320249;17320265;17320394	9.17164054919842e-15	5.94546277014183e-13	-0.702833333333333;0.702833333333333;0.7175;-0.309566666666667;-0.3259;-0.082
gish	chr3R_+_16297345_16297455_16298122_16298468_16298550_16299589_16299689_16301243_16305211_16307398_16308329	chr3R	+	16297345;16297455;16298122;16298468;16298550;16299589;16299689;16301243;16305211;16307398;16308329	2.61515573796346e-18	2.26720944348867e-16	-0.0132666666666665;0.0132666666666667;-0.0072;0.0881333333333334;-0.0809333333333334;-0.452566666666667;0.452566666666667;0.0164666666666669;-0.00829999999999999;-0.000733333333333333;-0.00283333333333333;-0.0046;-0.0964;0.0964
Sulf1	chr3R_-_16315246_16330918_16330956_16337843_16339309	chr3R	-	16315246;16330918;16330956;16337843;16339309	2.41970878231173e-07	5.88804969259423e-06	0.00756666666666667;-0.00756666666666661;-0.103733333333333;0.103733333333333;0.0998;0.0206;-0.120366666666667;0.162566666666667;-0.162566666666667
CG42446	chr3R_-_16352359_16356798_16358033_16358243_16358488	chr3R	-	16352359;16356798;16358033;16358243;16358488	1.46663172575701e-06	3.07198854562622e-05	-0.0285666666666667;0.0285666666666666;0.135666666666667;-0.00133333333333334;-0.1344
CG42446	chr3R_-_16358788_16358860_16359007_16359019_16359133_16359167_16359408_16359492_16359833_16359891	chr3R	-	16358788;16358860;16359007;16359019;16359133;16359167;16359408;16359492;16359833;16359891	2.63710727663827e-133	1.30315698891169e-129	-0.0318666666666667;0.0200333333333333;0.0118;-0.0629333333333332;0.000400000000000002;0.0625333333333333;-0.407266666666667;0.407266666666667;-6.66666666666663e-05;-0.0115333333333333;0.147233333333333;-0.135666666666667
CG14880	chr3R_-_16362445_16362513_16362720_16362771_16365515_16365666_16365674_16367414_16367858_16369637_16369676_16369815	chr3R	-	16362445;16362513;16362720;16362771;16365515;16365666;16365674;16367414;16367858;16369637;16369676;16369815	1.88607148846934e-27	3.20537350504653e-25	-0.7278;0.7278;-0.0164;-0.00363333333333333;-0.00466666666666667;0.0247666666666666;-0.0948;0.0948;0.0337;-0.0337000000000001;0.226566666666667;-0.0308;0.0734666666666666;-0.269166666666667;0.1217;-0.1217;0.251366666666667;-0.0705333333333332;-0.180833333333333
CG10317	chr3R_-_16370358_16370362_16370416_16372547_16372618	chr3R	-	16370358;16370362;16370416;16372547;16372618	0.000132922573209448	0.0016452946099322	0.1468;-0.1468;0.1129;-0.1129;-0.258933333333333;0.258933333333333
CG31804	chr2L_+_17363859_17363919_17364053_17364111_17365047	chr2L	+	17363859;17363919;17364053;17364111;17365047	1.52347299625969e-07	3.83801681383211e-06	-0.147533333333333;0.147533333333333;0.0741333333333335;-0.0741333333333333;0.4753;-0.4753
CG42342	chr3R_+_16550740_16550859_16550929_16551612_16551667_16551793	chr3R	+	16550740;16550859;16550929;16551612;16551667;16551793	0.000486263264401295	0.00496078106533327	0.228;-0.228;0.204533333333333;-0.204533333333333;0.0794666666666667;-0.0794666666666667;-0.4089;0.4089
CG42342	chr3R_+_16566001_16566201_16569033_16569061_16569138	chr3R	+	16566001;16566201;16569033;16569061;16569138	0.000385345721058961	0.00407959697866657	-0.115766666666667;0.115766666666667;-0.193233333333333;0.2245;-0.0312333333333332
CG42342	chr3R_+_16569193_16569483_16569682_16570939_16570942	chr3R	+	16569193;16569483;16569682;16570939;16570942	0.0234181214235853	0.110886971207529	0.189633333333333;-0.189633333333333;-0.1811;0.0806333333333334;0.100466666666667
CG12783	chr3R_-_16599068_16599649_16599742_16612824_16612863_16612924_16612971_16613250_16613263_16613307	chr3R	-	16599068;16599649;16599742;16612824;16612863;16612924;16612971;16613250;16613263;16613307	1.98884600355429e-14	1.24044132149836e-12	-0.0084;-0.1364;0.0773666666666668;0.0674;-0.0774333333333333;0.0774333333333332;-0.00283333333333347;0.00283333333333333;-0.0586;-0.0411333333333333;0.00563333333333332;0.0941
CLIP-190	chr2L_+_17385895_17386393_17389530_17394428_17394431_17394492_17398595_17398895_17400394	chr2L	+	17385895;17386393;17389530;17394428;17394431;17394492;17398595;17398895;17400394	5.31991036966417e-05	0.000755763737411756	-0.00223333333333333;-0.0160666666666667;0.0183333333333333;0.0118666666666666;-0.0118666666666667;-0.0236666666666667;0.00183333333333333;0.0209666666666665;0.000900000000000001;0.0307333333333333;-0.0011;-0.0296;0.00403333333333322;-0.0109;0.00686666666666667;0.0039;-0.0038999999999999
CLIP-190	chr2L_+_17401581_17402373_17402485_17404059_17404728	chr2L	+	17401581;17402373;17402485;17404059;17404728	0.000642484438562812	0.00629750424438718	0.0200333333333333;-0.0200333333333335;-0.00596666666666679;0.00596666666666667;0.0356333333333333;-0.0356333333333333
SF1	chr3R_+_17541801_17541853_17541865_17542413_17542490_17543498	chr3R	+	17541801;17541853;17541865;17542413;17542490;17543498	0.00830848007579502	0.0503239052352099	-0.0173;0.0172999999999999;0.0083;0.0166666666666667;0.0260333333333332;-0.0509666666666667
CG14322	chr3R_+_17630956_17639057_17644396_17644551_17644776_17648095_17648154_17651320_17664824_17668481	chr3R	+	17630956;17639057;17644396;17644551;17644776;17648095;17648154;17651320;17664824;17668481	4.58594721277405e-11	1.99868273335019e-09	-0.0304333333333333;0.0304333333333335;-0.0148666666666667;0.0148666666666668;0.0714666666666667;0.0035;0.0608333333333333;-0.111;-0.0178666666666667;-0.00693333333333334;0.0548333333333333;-0.0548333333333333
CG7523	chr3R_-_17669626_17669683_17669709_17669774_17670006_17670064	chr3R	-	17669626;17669683;17669709;17669774;17670006;17670064	0.00691229400006785	0.0436115378961264	0.357833333333333;-0.357833333333333;-0.00646666666666667;0.0239666666666667;0.035;-0.0525666666666665
cpo	chr3R_+_18010574_18010958_18011095_18011255_18011713_18012094_18012150_18012662_18013146	chr3R	+	18010574;18010958;18011095;18011255;18011713;18012094;18012150;18012662;18013146	0.0246978626856228	0.115323113591154	0.177033333333333;-0.177033333333333;0.0412;-0.0412;0.0630333333333333;0.102966666666667;-0.0647333333333333;-0.103033333333333;0.00180000000000002;0.0577666666666666;-0.108233333333333;0.0504333333333334;0.0498666666666667;-0.0498666666666666
wrd	chr3R_+_18171703_18172161_18173124_18174190_18175331	chr3R	+	18171703;18172161;18173124;18174190;18175331	1.13215667622288e-18	1.02437854982019e-16	-0.00619999999999998;0.0062;0.0326666666666667;0.00606666666666667;-0.0387333333333334
CG7208	chr3R_-_18185145_18185259_18185292_18185533_18185572_18185686	chr3R	-	18185145;18185259;18185292;18185533;18185572;18185686	0.0308046754680529	0.13506189285954	0.00443333333333329;-0.00443333333333333;0.192433333333333;-0.192433333333333;-0.0163666666666667;0.0130999999999999;0.00323333333333333
Vti1b	chr3R_+_18397114_18397181_18397185_18397321_18397389_18397503_18399777_18399810	chr3R	+	18397114;18397181;18397185;18397321;18397389;18397503;18399777;18399810	1.18759385268406e-09	4.18268731854586e-08	-0.0782333333333333;-0.0610666666666667;0.139333333333333;0.141666666666667;-0.141666666666667;0.0764666666666666;0.208666666666667;-0.140533333333333;-0.1447;0.373933333333333;-0.373933333333333;-0.0102333333333333;0.0102333333333333
fru	chr3R_-_18409871_18412760_18417300_18423182_18427166_18430830	chr3R	-	18409871;18412760;18417300;18423182;18427166;18430830	4.80885134902987e-19	4.54971162758509e-17	-0.284566666666667;0.141833333333333;0.0831;0.0596333333333333;0.5687;-0.5687
fru	chr3R_-_18435790_18438698_18446699_18478062_18491594_18498612_18503844	chr3R	-	18435790;18438698;18446699;18478062;18491594;18498612;18503844	2.06131644732442e-05	0.000329487509063369	-0.242566666666667;0.1819;0.0606666666666667;0.0290333333333334;-0.00673333333333333;0.0163;-0.0385
CG7694	chr3R_+_18573525_18577565_18577584_18585939_18585974_18586067_18586194_18586277_18590010_18590115	chr3R	+	18573525;18577565;18577584;18585939;18585974;18586067;18586194;18586277;18590010;18590115	0.0013186612570417	0.0115035466884324	0.0173333333333333;-0.0472666666666667;0.0450333333333333;0.0267;-0.0512;0.00933333333333333;-0.01;0.01;-0.0386;0.0474666666666667;-0.00883333333333333;0.000333333333333352;0.0573;-0.0576333333333333
CG11779	chr3R_-_19156541_19156546_19156601_19156657_19159608_19159656	chr3R	-	19156541;19156546;19156601;19156657;19159608;19159656	0.00401173225235603	0.0282090292933017	-0.000200000000000001;0.000199999999999978;-0.00243333333333333;0.00243333333333307;-0.00680000000000001;0.00680000000000014;-0.00986666666666666;-0.0305666666666667;0.0404;-0.00406666666666667;-0.0533;0.0547000000000001;0.00266666666666667
CG31475	chr3R_+_19190576_19192051_19192125_19192825_19200020	chr3R	+	19190576;19192051;19192125;19192825;19200020	0.000475725014259257	0.00486951093706643	-0.138366666666667;0.139033333333333;-0.00070000000000002;0.173166666666667;-0.173166666666667
lncRNA:CR44175	chr3R_-_19320129_19325480_19327219_19327223_19327272_19327276_19327282	chr3R	-	19320129;19325480;19327219;19327223;19327272;19327276;19327282	0.000469560505634034	0.00482100630372958	-0.2319;0.190766666666667;0.0411666666666666;0.0972333333333333;-0.0972333333333333;0.2166;-0.2166;-0.104133333333333;0.104133333333333;-0.0092;-0.0508;0.0599666666666667
Ino80	chr3R_-_19385067_19397488_19398468_19398656_19398737	chr3R	-	19385067;19397488;19398468;19398656;19398737	6.64937679010685e-14	3.95887501736102e-12	-0.109066666666667;0.3288;-0.219766666666667;-0.169666666666667;0.169666666666667
qua	chr2L_-_17489902_17490038_17491747_17491800_17491851_17492022_17496733	chr2L	-	17489902;17490038;17491747;17491800;17491851;17492022;17496733	1.17595370975797e-13	6.85521254705641e-12	-0.0140999999999998;0.0141;-0.0847666666666666;0.0847666666666664;0.0045;-0.00246666666666706;-0.00316666666666667;0.0011
Dys	chr3R_+_19562826_19571019_19571071_19586514_19590122	chr3R	+	19562826;19571019;19571071;19586514;19590122	0.0116918406772993	0.0653581219065771	-0.139233333333333;-0.0093;0.148466666666667;0.0194;-0.0194000000000002
GluClalpha	chr3R_+_19753860_19754252_19754321_19756052_19756121_19757813_19757885_19760263	chr3R	+	19753860;19754252;19754321;19756052;19756121;19757813;19757885;19760263	8.84380785607139e-14	5.21224826130167e-12	-0.0619;0.0619;-0.0454666666666666;0.137633333333333;-0.187466666666667;0.0953999999999999;0.117233333333333;-0.1426;0.0684666666666667;-0.0430666666666667;0.438833333333333;-0.438833333333333
CG31459	chr3R_+_19841069_19841126_19841130_19841177_19841194_19841249_19841254_19841303_19841666_19841725_19845603_19847635_19850010	chr3R	+	19841069;19841126;19841130;19841177;19841194;19841249;19841254;19841303;19841666;19841725;19845603;19847635;19850010	1.32298603219185e-31	2.86161433313255e-29	-0.0326333333333333;-0.0113666666666667;-0.245766666666667;0.289733333333333;-0.0362333333333333;0.0362333333333333;-0.0119333333333334;0.0119333333333334;-0.00969999999999982;0.0183333333333333;-0.00863333333333333;-0.0321999999999999;0.0404;0.0078;-0.0160666666666667;-0.0117999999999999;0.0118000000000003;0.0290666666666665;0.000266666666666667;-0.0293333333333333
MICU3	chr3R_+_19850952_19851063_19851130_19851205_19851225_19851340_19851419_19851830	chr3R	+	19850952;19851063;19851130;19851205;19851225;19851340;19851419;19851830	3.40974797461011e-14	2.08218269616852e-12	-0.0229666666666667;-0.315866666666667;0.338866666666667;-0.0149666666666668;0.0149666666666667;0.0279666666666667;-0.0279666666666667;0.0177;0.347866666666667;-0.365566666666667
CG4538	chr3R_-_19897642_19897645_19899151_19899291_19899327_19899598_19899612_19899620	chr3R	-	19897642;19897645;19899151;19899291;19899327;19899598;19899612;19899620	2.66197305033996e-95	4.07161454111642e-92	0.00343333333333334;-0.0034333333333334;-0.034;-0.0583;3.33333333333331e-05;0.0922666666666668;0.2244;-0.2244;0.0831333333333334;-0.0831333333333333;-0.00133333333333333;-0.000533333333333497;0.0019
lncRNA:CR43282	chr3R_-_19921084_19921089_19921135_19921139_19921148_19921185	chr3R	-	19921084;19921089;19921135;19921139;19921148;19921185	0.0336759774779672	0.143748793263842	0.0213;-0.0212999999999999;-0.0989333333333333;0.0549333333333333;0.0134;0.0306333333333333
CG4390	chr3R_-_20057374_20057440_20057585_20059565_20064402_20065679	chr3R	-	20057374;20057440;20057585;20059565;20064402;20065679	3.05746791376846e-08	8.68707634888985e-07	0.00236666666666663;-0.00236666666666667;0.00383333333333333;0.000533333333333386;0.000566666666666666;-0.00493333333333333
CG31206	chr3R_-_20105785_20106990_20107064_20107763_20107773_20107778_20107797_20107837	chr3R	-	20105785;20106990;20107064;20107763;20107773;20107778;20107797;20107837	1.51641898320407e-05	0.000249785312564135	-0.295366666666667;0.295366666666667;-0.000766666666666667;0.000133333333333333;0.000633333333333334;-0.000299999999999856;0.000366666666666667;0.0986666666666668;-0.0986666666666667
lncRNA:CR45023	chr3R_+_20357162_20357621_20359848_20359858_20359864_20360075	chr3R	+	20357162;20357621;20359848;20359858;20359864;20360075	0.00224261455566859	0.0177576484248374	-0.0952;0.127133333333333;0.0169;-0.0487666666666668;0.0213666666666666;-0.0213666666666666
CG46441	chr3R_-_20501721_20501787_20501824_20501832_20501846_20501884	chr3R	-	20501721;20501787;20501824;20501832;20501846;20501884	0.00362498628278361	0.026051319363721	-0.0133;0.0158333333333333;0.00373333333333337;-0.00626666666666666;-0.0227333333333333;0.0227333333333333
Stat92E	chr3R_-_20541553_20541678_20542092_20550719_20552079	chr3R	-	20541553;20541678;20542092;20550719;20552079	0.0112401240727888	0.063451389328649	-0.069;0.0690000000000001;0.0694333333333333;-0.0694333333333332;0.0288666666666666;-0.0401666666666667;0.0112;0.0156333333333333;-0.0156333333333333
Syp	chr3R_+_20757249_20757566_20772794_20772882_20780827_20783580_20790332_20791743	chr3R	+	20757249;20757566;20772794;20772882;20780827;20783580;20790332;20791743	4.1151312005668e-05	0.000607166154009214	0.000533333333333333;0.0027666666666667;-0.00853333333333333;-0.0016;0.00686666666666669;9.99999999999999e-05;-0.000799999999999912;0.0007
Syp	chr3R_+_20792555_20793714_20793851_20795137_20795162_20795274_20797142	chr3R	+	20792555;20793714;20793851;20795137;20795162;20795274;20797142	0.000467239429107184	0.00480101218254552	-0.00176666666666667;0.00239999999999985;-0.000633333333333331;0.00273333333333325;-0.00113333333333333;-0.0016;0.0003;-0.000300000000000189
Syp	chr3R_+_20797853_20798289_20798313_20798409_20800015_20800300_20802288_20802551_20802599_20802623_20802832_20802849_20804673_20805945_20821873_20822061_20822273_20822416	chr3R	+	20797853;20798289;20798313;20798409;20800015;20800300;20802288;20802551;20802599;20802623;20802832;20802849;20804673;20805945;20821873;20822061;20822273;20822416	5.24828062865672e-58	3.78825613332063e-55	0.0007;0.00283333333333333;-0.1954;0.205533333333333;-0.0062;-0.00736666666666667;-0.0867333333333334;0.0867333333333333;0.0177;-0.0177;-0.00273333333333333;-0.00696666666666667;0.00973333333333315;-0.00686666666666667;0.0065333333333335;0.0003;0.00336666666666663;-0.00393333333333333;0.00223333333333333;-0.0016;0.190433333333333;-0.186066666666667;-0.00433333333333333;-0.0265333333333333;-0.0577666666666667;0.103266666666667;-0.019;0.8344;-0.8344
Atpalpha	chr3R_+_20948829_20958167_20959235_20959347_20959380_20960724_20960825_20962213_20962295_20963723	chr3R	+	20948829;20958167;20959235;20959347;20959380;20960724;20960825;20962213;20962295;20963723	0.00897023220318116	0.0533252858692472	0.0115666666666667;0.00176666666666667;-0.0133666666666667;0.0326333333333333;0.0003;-0.0329333333333331;-0.0226333333333333;0.0226333333333333;-0.0716666666666667;0.00356666666666667;0.0022;0.0658333333333333
Calx	chr3R_+_20979120_20986083_20986145_20986382_20989599_20990232_20991680_20992239	chr3R	+	20979120;20986083;20986145;20986382;20989599;20990232;20991680;20992239	3.02219800125387e-05	0.000462810540640166	-0.00266666666666667;0.0629333333333333;-0.109033333333333;0.00516666666666667;0.0471666666666667;-0.00356666666666667;-0.0999666666666665;0.0999666666666666
CG3301	chr3R_-_21274590_21274645_21275156_21275297_21275376	chr3R	-	21274590;21274645;21275156;21275297;21275376	0.00934929018380788	0.0550662648480794	-0.0262333333333333;0.0262333333333333;0.0184333333333333;0.0544999999999999;-0.0729666666666667
mod(mdg4)	chr3R_-_21351886_21352390_21352636_21353237_21353734_21354331_21355089_21355557_21356251_21356316_21356968_21357364_21357474_21358204_21358359_21359069_21359361_21359583_21359671_21362868_21363884_21364375_21364449_21364992_21365136_21365377_21365544_21370642_21372067_21373080_21373329_21375058	chr3R	-	21351886;21352390;21352636;21353237;21353734;21354331;21355089;21355557;21356251;21356316;21356968;21357364;21357474;21358204;21358359;21359069;21359361;21359583;21359671;21362868;21363884;21364375;21364449;21364992;21365136;21365377;21365544;21370642;21372067;21373080;21373329;21375058	1.38219446431886e-05	0.000230035115498207	-0.00453333333333333;-0.00653333333333332;0.0065;-0.0017;-0.0139666666666667;0.0027;0.0200333333333333;0.00053333333333333;0.000333333333333328;0.0167666666666667;0.0180333333333333;0.0023;-0.00556666666666666;-0.00753333333333333;0.0192666666666667;0.0152666666666667;0.0210666666666667;0.00153333333333334;-0.0845333333333333;0.5903;-0.5903;0.0458000000000002;-0.0458;-0.0505666666666665;0.0505666666666666;0.0356666666666667;-0.171166666666667;0.135566666666667;-0.1235;0.112333333333333;0.0110666666666667;-0.0186666666666667;0.0186666666666667;0.0646666666666665;-0.0198;-0.0264333333333333;-0.0184;-0.0121666666666667;0.0121666666666665
InR	chr3R_-_21603573_21615563_21615566_21615665_21618725_21619004	chr3R	-	21603573;21615563;21615566;21615665;21618725;21619004	0.00546353795728281	0.0361465645637286	-0.0539;-0.00466666666666671;0.0585666666666667;-0.0634666666666667;0.106;-0.0425
P5CDh2	chr3R_+_21878071_21878136_21878170_21878308_21878350_21878367	chr3R	+	21878071;21878136;21878170;21878308;21878350;21878367	3.11999964139486e-07	7.45377080560979e-06	-0.103766666666667;0.103766666666667;-9.99999999999998e-05;0.0152333333333333;-0.0151333333333333;-0.0337;0.0337
CG6678	chr3R_+_21889603_21889615_21889663_21889669	chr3R	+	21889603;21889615;21889663;21889669	0.0218348924093735	0.105404468748304	-0.00959999999999994;0.0096;0.105633333333333;-0.105633333333333;-0.0205999999999997;0.0206;0.0149000000000001;-0.0149
CG5388	chr3R_-_22333692_22333972_22334928_22337120_22337630_22337697_22340163	chr3R	-	22333692;22333972;22334928;22337120;22337630;22337697;22340163	1.1540404025888e-13	6.73970086388246e-12	-0.230866666666667;0.230866666666667;-0.0378333333333333;-0.0126666666666667;0.0505;0.2997;-0.1206;-0.179033333333333;-0.083;0.083;0.000866666666666667;-0.000866666666666571
Gpdh3	chr3R_+_22383142_22383203_22383358_22383362_22383410_22383449	chr3R	+	22383142;22383203;22383358;22383362;22383410;22383449	0.0121093530905369	0.0671950377376854	-0.0003;0.000499999999999945;-0.000199999999999999;0.000366666666666626;-0.000366666666666667;-0.00449999999999984;0.0045
AdipoR	chr3R_-_22545470_22545683_22545783_22545874_22546710	chr3R	-	22545470;22545683;22545783;22545874;22546710	4.47989792414961e-144	4.79655204242158e-140	0.1967;-0.1967;-0.153266666666667;0.153266666666667;0.134466666666667;-0.134466666666667
CG5674	chr2L_+_17963605_17964278_17965067_17965533_17965679_17965889_17965951_17966431_17969370	chr2L	+	17963605;17964278;17965067;17965533;17965679;17965889;17965951;17966431;17969370	4.17042864751548e-23	5.34755502485113e-21	-0.264933333333333;0.182766666666667;0.0180333333333333;0.0641333333333333;-0.509533333333333;0.509533333333333;-0.0986666666666666;0.00346666666666665;0.0951666666666666;0.141233333333333;-0.141233333333333
CG45049	chr3R_+_22727101_22727491_22728654_22728841_22729133_22729207	chr3R	+	22727101;22727491;22728654;22728841;22729133;22729207	1.91233334950574e-05	0.000307962709818507	-0.0691666666666668;-0.0331666666666666;0.102333333333333;0.00936666666666666;-0.00936666666666697;-0.0847333333333333;0.0847333333333333
lncRNA:CR44350	chr3R_-_22807238_22824014_22826967_22827025_22827029	chr3R	-	22807238;22824014;22826967;22827025;22827029	0.015770328503345	0.0824061878463793	Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf
unk	chr3R_-_23154967_23155130_23155438_23155549_23155807	chr3R	-	23154967;23155130;23155438;23155549;23155807	0.0243794988411199	0.114276788402217	-0.112433333333333;0.112433333333333;0.058;-0.0892666666666666;0.0313000000000001
orb	chr3R_-_23267660_23267680_23267819_23268061	chr3R	-	23267660;23267680;23267819;23268061	3.38286639617943e-06	6.56552024643392e-05	-0.0255333333333333;0.0255333333333334;-0.0275333333333333;0.0275333333333334;0.0448666666666667;-0.0448666666666666;0.0254666666666667;-0.0254666666666667
rdo	chr2L_+_18027001_18028331_18033762_18033784_18051459	chr2L	+	18027001;18028331;18033762;18033784;18051459	0.0376601917887184	0.155224456608434	-0.0462666666666667;0.0462666666666667;-0.0381;0.0842666666666668;-0.0461666666666667
CG10365	chr3R_+_23729159_23729752_23729935_23729972_23730647	chr3R	+	23729159;23729752;23729935;23729972;23730647	5.10830174249057e-08	1.39406292370151e-06	0.0002000000000002;-0.0002;-0.0024;0.00239999999999996;0.00229999999999997;-0.0023
Hmgcr	chr3R_+_23733837_23746660_23746848_23747032_23747094	chr3R	+	23733837;23746660;23746848;23747032;23747094	0.00950065561599476	0.0557126077067201	-0.0357000000000001;0.0227666666666667;0.0129666666666666;-0.5483;0.5483
sba	chr3R_-_23895408_23895426_23895497_23896207_23896554_23896608_23896848_23897061	chr3R	-	23895408;23895426;23895497;23896207;23896554;23896608;23896848;23897061	0.000801101402013747	0.00761745932012509	0.115566666666667;0.00203333333333339;-0.0576666666666667;0.0271333333333333;-0.0870666666666667;-0.0189;0.00863333333333333;0.0102333333333334
AP-1sigma	chr3R_+_23959593_23960896_23962049_23965798_23965803_23966702_23972446	chr3R	+	23959593;23960896;23962049;23965798;23965803;23966702;23972446	1.55611893869051e-07	3.91412046751829e-06	-0.470366666666667;0.470366666666667;0.0229666666666667;0.144933333333333;-0.0357333333333333;-0.015;-0.117133333333333
Rab7	chr3R_+_23979622_23980526_23981724_23993061_23993140_23993276_23993819_23993944	chr3R	+	23979622;23980526;23981724;23993061;23993140;23993276;23993819;23993944	1.27299756601576e-05	0.00021385626735988	-0.00616666666666667;-0.00656666666666667;0.0397000000000002;-0.00716666666666667;-0.0198666666666667;0.194466666666667;0.0815;-0.275966666666667
KrT95D	chr3R_-_24030858_24031031_24031710_24031883_24031922	chr3R	-	24030858;24031031;24031710;24031883;24031922	0.0162276386856377	0.0842135662657766	0.1552;-0.1552;-0.00970000000000004;-0.0529333333333333;0.0625666666666667
Miro	chr3R_-_24035029_24035098_24035164_24035262_24035286_24035326_24035612	chr3R	-	24035029;24035098;24035164;24035262;24035286;24035326;24035612	8.114540803594e-122	2.74361166191412e-118	-0.00183333333333324;0.00183333333333333;-0.00869999999999993;0.0087;-0.00523333333333333;0.0052333333333332;0.00363333333333333;0.250733333333333;-0.2486;-0.0058;0.0934333333333333;-0.0934333333333334
eIF4EHP	chr3R_-_24064330_24068064_24080643_24101294_24102046_24102638_24103570_24106823	chr3R	-	24064330;24068064;24080643;24101294;24102046;24102638;24103570;24106823	3.92438050617511e-08	1.09563723640676e-06	0.121833333333333;-0.0912333333333333;-0.0308666666666667;0.000266666666666667;0.0171666666666667;0.0498666666666666;-0.0670000000000001;0.0434;-0.0434000000000001
twin	chr3R_-_24199587_24199881_24199951_24200540_24219598	chr3R	-	24199587;24199881;24199951;24200540;24219598	4.30900705759424e-41	1.59089035854547e-38	-0.0281666666666667;0.0281666666666667;0.0258333333333332;-0.0258333333333333;0.0306;-0.0306
twin	chr3R_-_24220343_24220530_24220563_24221113_24221144_24221225_24221616_24221791_24229975_24230472_24230541	chr3R	-	24220343;24220530;24220563;24221113;24221144;24221225;24221616;24221791;24229975;24230472;24230541	5.38090192437421e-05	0.000763415460520591	0.0253999999999999;-0.0254;0.0160333333333334;-0.0160333333333336;-0.0529;-0.0383333333333333;0.0912333333333333;-0.0280000000000001;0.0150666666666667;0.0128333333333333;-0.0201333333333334;0.028;0.0226666666666667;-0.0034;-0.0212;-0.00586666666666667;0.00106666666666666;-0.0014;0.000333333333333297
mask	chr3R_+_24232974_24235273_24235391_24235431_24235815	chr3R	+	24232974;24235273;24235391;24235431;24235815	2.04788888746873e-06	4.16587808802655e-05	-0.121066666666667;0.121066666666667;-0.117433333333333;-0.0493666666666667;0.166766666666667;0.0775;-0.0775;0.2755;-0.2755
jar	chr3R_-_24254124_24254402_24254448_24254632_24254678_24254937_24254992	chr3R	-	24254124;24254402;24254448;24254632;24254678;24254937;24254992	1.41014217840815e-10	5.77735610223966e-09	-0.00223333333333342;0.00223333333333333;-0.2937;0.2937;-0.0192333333333333;0.0192333333333331;0.0036;0.0162666666666667;-0.000166666666666667;-0.0196333333333333;0.0129333333333333;-0.0129333333333334
JMJD4	chr2L_-_18142580_18152038_18158609_18159013_18159080	chr2L	-	18142580;18152038;18158609;18159013;18159080	6.61124470878403e-07	1.48397264618097e-05	-0.2326;0.0512666666666667;0.181366666666667;0.343766666666667;-0.343766666666667
atl	chr3R_+_24625812_24630750_24631374_24631440_24631781	chr3R	+	24625812;24630750;24631374;24631440;24631781	0.000278020146778299	0.00309322692226961	-0.122966666666667;0.00359999999999994;0.119433333333333;-0.1208;0.1208
sosie	chr3R_+_24835694_24835756_24836048_24836103_24837217_24838049	chr3R	+	24835694;24835756;24836048;24836103;24837217;24838049	1.65861604412933e-07	4.15566120479376e-06	-0.2912;-0.0328333333333333;0.324033333333333;0.214433333333333;-0.214433333333333;0.7611;-0.7611
CAH4	chr3R_-_24856544_24856561_24856567_24856611_24856615	chr3R	-	24856544;24856561;24856567;24856611;24856615	0.00596672942213756	0.0388740189088863	0.0026;0.00333333333333333;-0.00589999999999979;0.0042;-0.00419999999999998
CG11168	chr3R_+_24920047_24920119_24920126_24920260_24920315_24920357	chr3R	+	24920047;24920119;24920126;24920260;24920315;24920357	0.00357756240007653	0.0257768266199323	0.0330666666666665;-0.0330666666666667;-0.0255333333333333;-0.0299666666666667;0.0469666666666665;0.00849999999999998
