Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
Arfip	chr3R_-_11232750_11232827	chr3R	-	11232750	11232827	0.0303173973161563	0.133590775841086	-0.0571691472598175
prd1	chr3R_-_11784092_11784163	chr3R	-	11784092	11784163	0.00326841324892069	0.0240483490463766	0.0666839132523226
CG14736	chr3R_+_12041929_12042002	chr3R	+	12041929	12042002	0.0338386423425911	0.144181748539524	-0.195628309598898
dpr17	chr3R_+_12111033_12111073	chr3R	+	12111033	12111073	0.0414018933501327	0.16612735981923	-0.232221482221482
Pp1-87B	chr3R_-_12423879_12423949	chr3R	-	12423879	12423949	0.0434944852221053	0.171713939598898	-0.269507101086048
tweek	chr2L_+_16890084_16890147	chr2L	+	16890084	16890147	0.0388417553999778	0.158630024229703	0.138062035158891
NONE	chr3R_+_13026382_13026623	chr3R	+	13026382	13026623	0.00144859224611687	0.0124552477778537	-0.375
CG3061	chr3R_+_14034476_14034698	chr3R	+	14034476	14034698	0.0141740340772828	0.0758605451269451	-0.068893119858195
CG14355	chr3R_-_14151836_14151894	chr3R	-	14151836	14151894	0.0291138498027042	0.129846072283777	-0.0369056940157101
soti	chr3R_-_14381075_14381119	chr3R	-	14381075	14381119	5.04559615535399e-06	9.36803880393341e-05	-0.251456939389307
NONE	chr3R_*_14740431_14740452	chr3R	*	14740431	14740452	9.28034314689338e-29	1.72305931820687e-26	-0.660849937587322
CG4520	chr3R_+_15746045_15746104	chr3R	+	15746045	15746104	0.0104926634759335	0.060108720738135	-0.0307630593610156
CG5614	chr3R_+_15780438_15780491	chr3R	+	15780438	15780491	0.00110847078709409	0.00999989774381572	-0.24438553692285
hmw	chr3R_+_18363199_18363253	chr3R	+	18363199	18363253	0.00422592273608192	0.029442766155002	0.270398461187935
NONE	chr2L_+_17478582_17478641	chr2L	+	17478582	17478641	0.000264312726339915	0.00295607831699208	-0.366550045578179
CG31459	chr3R_+_19841194_19841249	chr3R	+	19841194	19841249	6.52254391275395e-05	0.00089782460574079	-0.0789838192353321
CG31213	chr3R_+_19972927_19973038	chr3R	+	19972927	19973038	0.0278996908393567	0.125855209550672	0.151793871670532
CG31213	chr3R_+_19973801_19973884	chr3R	+	19973801	19973884	0.0163803999523411	0.0847598287022428	0.146757066236141
CG31213	chr3R_+_19974963_19975034	chr3R	+	19974963	19975034	0.0445074710958454	0.174661237059756	-0.2025
Dic2	chr3R_-_20500051_20500114	chr3R	-	20500051	20500114	7.98607266532653e-06	0.000140595586213549	0.493217893217893
Rab11	chr3R_+_21111466_21111653	chr3R	+	21111466	21111653	0.0240620660779186	0.113110726394817	-0.0209145842188411
CG6569	chr3R_-_21867744_21867807	chr3R	-	21867744	21867807	0.00126499046530117	0.0111275164290582	-0.0373921038038628
CG31178	chr3R_+_21874252_21874317	chr3R	+	21874252	21874317	0.0141681937456256	0.0758419243740302	0.115535084525948
CG10365	chr3R_+_23731320_23731376	chr3R	+	23731320	23731376	8.77040737292369e-77	8.94317047688874e-74	-0.348023814254917
CG31128	chr3R_+_24469579_24469648	chr3R	+	24469579	24469648	0.0487367007621878	0.185776680333692	-0.0420053367655951
CG31787	chr2L_-_18285282_18285335	chr2L	-	18285282	18285335	0.000390239308492811	0.00412528606498053	0.176549804502972
NONE	chr2L_*_18296973_18296993	chr2L	*	18296973	18296993	0.000112289735076185	0.00142589540838687	-0.321160694591674
CG17195	chr3R_-_25776914_25776966	chr3R	-	25776914	25776966	0.000222664840260854	0.00255889302382782	0.421487284645179
CG17195	chr3R_-_25777055_25777123	chr3R	-	25777055	25777123	0.0116253995591836	0.0650665442121846	-0.124872962005315
Acam	chr3R_+_25812217_25812281	chr3R	+	25812217	25812281	0.00107184857099371	0.00972413840548041	-0.0813230634185619
Acam	chr3R_+_25812519_25812576	chr3R	+	25812519	25812576	0.0448585135964336	0.175428000970871	-0.0495319621630162
Ald2	chr3R_+_26414210_26414265	chr3R	+	26414210	26414265	0.0462162613142494	0.178907346918247	0.154263598252203
CG3330	chr3R_-_27330375_27330429	chr3R	-	27330375	27330429	0.00237365687270064	0.0186117528572149	-0.156341732641466
NONE	chr3R_-_28292211_28292372	chr3R	-	28292211	28292372	0.0165364897823403	0.0853955498478556	0.0543784759066879
Mst36Fa	chr2L_-_18676562_18676622	chr2L	-	18676562	18676622	0.00710665834495629	0.0444752887226826	-0.329163616844776
CG31751	chr2L_+_18683300_18683368	chr2L	+	18683300	18683368	8.71393713487531e-05	0.00114617533882376	-0.102300215507763
Vps13B	chr3R_+_29939387_29939447	chr3R	+	29939387	29939447	0.00847908484647405	0.0511267964729059	0.112193447664939
Ppi1	chr3R_-_30127849_30127899	chr3R	-	30127849	30127899	0.000450733088635074	0.00465822785505241	-0.000673010839182324
CG42752	chr2L_-_18740022_18740087	chr2L	-	18740022	18740087	0.00868973407700295	0.0521083923122138	0.308369408369408
CG9855	chr3R_-_4396262_4396327	chr3R	-	4396262	4396327	0.00237545540733643	0.0186235819895899	-0.284665774251214
Nmdar1	chr3R_-_5522711_5522762	chr3R	-	5522711	5522762	0.00273555947731009	0.020806899879455	-0.00762657768613712
NONE	chr3R_-_5602430_5602499	chr3R	-	5602430	5602499	0.00120237593153059	0.0106894315274642	-0.386548636548637
asl	chr3R_-_5605979_5606038	chr3R	-	5605979	5606038	0.0129152072770385	0.0705755214940653	-0.235619822977924
CG2100	chr3R_-_5736187_5736234	chr3R	-	5736187	5736234	0.0481011966985093	0.184152030379395	-0.118754208754209
CG1979	chr3R_+_7055933_7055996	chr3R	+	7055933	7055996	0.000237842244276539	0.002709562620069	0.225095716766419
PIG-H	chr3R_+_8000663_8000722	chr3R	+	8000663	8000722	0.0406615404576935	0.163968618815224	-0.0375309229674966
bel	chr3R_-_8660410_8660492	chr3R	-	8660410	8660492	0.0316188026343427	0.137607445297257	0.201010348664811
CG45050	chr3R_+_9356325_9356422	chr3R	+	9356325	9356422	0.000278153454152821	0.00309417420748595	-0.00249912872128435
CG45050	chr3R_+_9358276_9358333	chr3R	+	9358276	9358333	2.33388021359822e-05	0.000369015010587653	0.0854990611363843
CG45050	chr3R_+_9358571_9358627	chr3R	+	9358571	9358627	0.0270982407761566	0.123121726126393	0.0743390451419231
CG9471	chr3R_-_9771381_9771444	chr3R	-	9771381	9771444	0.000322269236718658	0.00350599458696753	0.144153816214041
Ank	chr4_-_116718_116818	chr4	-	116718	116818	0.00607352946090767	0.0394270014246331	0.103262485645573
JYalpha	chr4_+_2713_2777	chr4	+	2713	2777	0.0406398640380813	0.163929769287353	0.293073593073593
NONE	chr4_*_372422_372481	chr4	*	372422	372481	0.00595531171951364	0.0388164752610872	-0.103233996489575
lgs	chr4_-_443483_443544	chr4	-	443483	443544	0.0470687326559095	0.181323006389319	-0.0182302276867494
Eph	chr4_+_611438_611511	chr4	+	611438	611511	0.00563060748153845	0.0370658317866986	-0.13859139787005
Slip1	chr4_+_664230_664286	chr4	+	664230	664286	0.0442697542472013	0.173991931845745	0.192843137254902
CG15306	chrX_-_10331145_10331194	chrX	-	10331145	10331194	0.00162394092915479	0.0136979502665222	-0.19024307056222
CG32686	chrX_-_10374277_10374340	chrX	-	10374277	10374340	7.51199438484244e-05	0.00101169398590495	-0.194634935426724
Imp	chrX_-_10821547_10821595	chrX	-	10821547	10821595	0.0014812135960424	0.0126923626281659	-0.532356532356532
Usp7	chrX_-_12024307_12024359	chrX	-	12024307	12024359	0.0342023414935594	0.145288145201862	-0.151041666666667
Usp7	chrX_-_12027851_12027948	chrX	-	12027851	12027948	0.025461039255154	0.117867163132546	0.151659065012754
lncRNA:CR32652	chrX_-_12411162_12411253	chrX	-	12411162	12411253	0.0349548965558613	0.147567688088657	0.22284294614532
Flo2	chrX_+_14859371_14859429	chrX	+	14859371	14859429	0.000280324261440911	0.00311293187194911	-0.362511671335201
Tob	chrX_-_16082168_16082225	chrX	-	16082168	16082225	0.0228043964141444	0.108762001836683	-0.240165631469979
spir	chr2L_+_20311710_20311770	chr2L	+	20311710	20311770	0.0493804212264069	0.187474005082773	-0.209554334554334
rngo	chrX_+_16444941_16445000	chrX	+	16444941	16445000	0.00372233571620303	0.02660805260316	-0.354205540093053
Arp2	chrX_-_16549148_16549217	chrX	-	16549148	16549217	0.00744134150687976	0.0462007557498273	-0.435064935064935
CG8188	chrX_-_17700877_17700968	chrX	-	17700877	17700968	0.0265224960927401	0.121223228134128	0.25971620971621
CG12609	chrX_-_18747131_18747186	chrX	-	18747131	18747186	0.0297558401777606	0.131839777147356	-0.296393080603607
Cp110	chrX_+_22487283_22487340	chrX	+	22487283	22487340	0.00348240290968549	0.02525548039299	-0.190924079229164
NONE	chr2L_+_20924290_20924351	chr2L	+	20924290	20924351	0.00966584188260894	0.056423748149085	-0.276534391534392
CG12693	chrX_-_4328346_4328402	chrX	-	4328346	4328402	0.0370774197363601	0.153660442634895	0.215741155396328
NONE	chr2L_+_20929245_20929340	chr2L	+	20929245	20929340	0.00382913366168036	0.0271899387155972	0.104244340765703
Pp2C1	chrX_-_4686552_4686610	chrX	-	4686552	4686610	0.0426182121997271	0.169375441421188	0.214309764309764
CG2861	chrX_-_4798875_4798934	chrX	-	4798875	4798934	0.0496188920966625	0.188179186916683	0.210001468824998
CG15892	chrX_-_6293889_6293954	chrX	-	6293889	6293954	0.0250543970566187	0.116530518484958	-0.0384200769407974
NONE	chrX_-_6361656_6361713	chrX	-	6361656	6361713	0.0302242716003991	0.133277715602181	-0.174263890166068
CG32719	chrX_-_7536300_7536356	chrX	-	7536300	7536356	0.038991695481935	0.159109795430032	-0.257915287327052
CG1387	chrX_+_8387318_8387377	chrX	+	8387318	8387377	0.00557111653142647	0.0367221523799885	-0.240572390572391
kl-3	chrY_+_356863_356933	chrY	+	356863	356933	0.0418727718573858	0.167326992839657	0.193009620545852
CG15219	chr2L_-_22105077_22105114	chr2L	-	22105077	22105114	0.0029414428910583	0.0220929770565271	-0.199321168676007
CG31949	chr2L_+_2300504_2300581	chr2L	+	2300504	2300581	0.0309032071039275	0.13541047183435	-0.0842340857509335
CG31948	chr2L_-_2416389_2416434	chr2L	-	2416389	2416434	2.30834064372071e-05	0.000365787151685403	0.350196281568831
Porin2	chr2L_-_10846506_10846571	chr2L	-	10846506	10846571	0.00907605823914116	0.0538121880332872	0.000479977193473791
CG9664	chr2L_-_3294118_3294229	chr2L	-	3294118	3294229	0.00836317304773751	0.0505797966258431	-0.399475524475524
Ent1	chr2L_-_356312_356365	chr2L	-	356312	356365	0.0235573413555336	0.111324640725381	0.0250999479626348
CG2955	chr2L_+_4149794_4149858	chr2L	+	4149794	4149858	2.28230759555857e-05	0.000361929701916263	-0.128448428501347
NONE	chr2L_-_4685423_4685494	chr2L	-	4685423	4685494	3.01702438411166e-132	1.38440473899798e-128	0.864783870009152
CG15631	chr2L_-_4733573_4733623	chr2L	-	4733573	4733623	3.7365993657842e-05	0.000556814845412532	-0.320558384648847
lncRNA:CR42850	chr2L_-_5380081_5380136	chr2L	-	5380081	5380136	0.00233152305288214	0.0183440750079855	-0.18688680674982
cl	chr2L_+_5520235_5520285	chr2L	+	5520235	5520285	0.000924108442656128	0.00858505429713266	0.0781129351636568
CG14006	chr2L_-_5727305_5727346	chr2L	-	5727305	5727346	0.00185791669280201	0.0152588118463685	-0.271715385078763
CG9016	chr2L_-_5923479_5923530	chr2L	-	5923479	5923530	4.67947259590794e-09	1.51901970204003e-07	-0.0109477281497947
ifc	chr2L_+_5988520_5988582	chr2L	+	5988520	5988582	0.0426913377715392	0.169553893649549	-0.137676721321997
NONE	chr2L_+_6985808_6985878	chr2L	+	6985808	6985878	5.52140000727332e-05	0.000780075341691765	-0.716666666666667
PAPLA1	chr2L_-_8134512_8134571	chr2L	-	8134512	8134571	0.0286530246268929	0.128298526176638	-0.175366156328044
dock	chr2L_+_830750_830803	chr2L	+	830750	830803	0.000722180370181999	0.00696391311330858	-0.256581942506874
CG14926	chr2L_-_11343045_11343094	chr2L	-	11343045	11343094	0.00149266861575323	0.0127734813566809	-0.345908796213584
CG9314	chr2L_+_8706654_8706732	chr2L	+	8706654	8706732	0.00187267598601206	0.0153525495172793	0.337287808178219
CG17005	chr2L_+_9328506_9328594	chr2L	+	9328506	9328594	0.0230572308573335	0.10964457119352	0.178330443112737
FucTB	chr2L_-_9429804_9429868	chr2L	-	9429804	9429868	0.0466167504818453	0.180078572922683	-0.0481964040033744
asRNA:CR43683	chr2L_+_9961639_9961688	chr2L	+	9961639	9961688	0.00169744395149655	0.0141930882322127	0.398454567994798
Mst33A	chr2L_-_11586308_11586373	chr2L	-	11586308	11586373	0.00429911532268179	0.029860467882409	-0.127969186115368
NONE	chr2R_+_10941022_10941178	chr2R	+	10941022	10941178	1.33486096386253e-06	2.82453238404126e-05	-0.330358151554308
Spn47C	chr2R_-_10941030_10941086	chr2R	-	10941030	10941086	0.0245177957498993	0.114740855013425	0.299285322013122
CG34230	chr2R_+_11861788_11861843	chr2R	+	11861788	11861843	2.96976221257233e-06	5.84320043791299e-05	-0.0256092916182204
Drep3	chr2R_+_12062108_12062179	chr2R	+	12062108	12062179	0.0212190776736429	0.10318180068371	-0.4
CG30048	chr2R_+_12395115_12395162	chr2R	+	12395115	12395162	0.0432234737217548	0.170894459780112	-0.249801587301587
Dera	chr2R_+_12425640_12425707	chr2R	+	12425640	12425707	0.000457831580918955	0.00471868419538177	0.153141685949895
CG30487	chr2R_-_12938179_12938238	chr2R	-	12938179	12938238	0.00348495974346618	0.0252626155359976	-0.156954920659742
Pgm2b	chr2R_-_14819671_14819731	chr2R	-	14819671	14819731	0.0160296797854703	0.0834626891796399	-0.234120098117977
GPHR	chr2R_-_15200596_15200655	chr2R	-	15200596	15200655	4.85407543132111e-05	0.000700585620722308	0.0333417140584331
asRNA:CR44370	chr2R_+_15227338_15227404	chr2R	+	15227338	15227404	0.00276574320363565	0.0209917425738135	-0.0237838293880467
asRNA:CR44370	chr2R_+_15227540_15227606	chr2R	+	15227540	15227606	0.0258244247960159	0.119077438509967	-0.495663998357964
asRNA:CR44370	chr2R_+_15228884_15229058	chr2R	+	15228884	15229058	1.71821744725165e-12	8.80223341538226e-11	-0.649203574203574
asRNA:CR44370	chr2R_+_15229149_15229348	chr2R	+	15229149	15229348	7.55089415719392e-05	0.00101608083693401	0.249753746203611
asRNA:CR44370	chr2R_+_15230246_15230306	chr2R	+	15230246	15230306	2.23871964193029e-34	5.57432513632727e-32	-0.662935023383729
Arf51F	chr2R_+_15324371_15324438	chr2R	+	15324371	15324438	0.00334146721834116	0.0244597989486616	-0.187987073643756
CG34188	chr2R_-_15427630_15427683	chr2R	-	15427630	15427683	0.00281223371080687	0.021286756900665	0.073427310941736
Mlf	chr2R_-_15936324_15936385	chr2R	-	15936324	15936385	0.0151827522931376	0.0799537003085049	-0.498677248677249
CG33017	chr2R_+_16273764_16273820	chr2R	+	16273764	16273820	0.00378103662193547	0.0269198241859422	-0.299560709104389
CG6262	chr2R_+_16361974_16362033	chr2R	+	16361974	16362033	0.0349323107591378	0.147533595101672	-0.0260310091865743
loopin-1	chr2R_+_16535133_16535194	chr2R	+	16535133	16535194	0.00338471884753466	0.0247060247113367	0.0667211859417093
PIG-V	chr2R_+_16955677_16955736	chr2R	+	16955677	16955736	0.0138841965037604	0.0746201512254722	0.0125621629856202
ND-15	chr2L_+_123265_123323	chr2L	+	123265	123323	7.97251827692105e-05	0.00106500841469679	-0.21471336391471
CG41520	chr2R_+_1731313_1731362	chr2R	+	1731313	1731362	0.0121105302491211	0.0671957655669188	-0.146479485634006
CG14480	chr2R_+_17564670_17564717	chr2R	+	17564670	17564717	0.0397119171534097	0.161137776013908	-0.0642435411761045
Smurf	chr2R_+_17593062_17593121	chr2R	+	17593062	17593121	0.014493306828183	0.0771652150632333	-0.25337360533439
CG44435	chr2R_-_18679502_18679559	chr2R	-	18679502	18679559	0.0434010207785587	0.171450312128606	-0.0328721479415779
CG44435	chr2R_-_18680799_18680845	chr2R	-	18680799	18680845	0.0144446038458612	0.0770071199719476	-0.0698406260622354
CG44435	chr2R_-_18682605_18682659	chr2R	-	18682605	18682659	0.0111747666063106	0.0631601426672534	-0.13940635535939
NONE	chr2R_+_18683560_18683661	chr2R	+	18683560	18683661	3.73461606741929e-103	6.66431863297451e-100	-0.0711827139265318
CG44433	chr2R_-_18686617_18686672	chr2R	-	18686617	18686672	0.00250866317681072	0.0194237713801973	-0.252152304184824
MetRS	chr2R_-_18847660_18847689	chr2R	-	18847660	18847689	6.30211824925548e-07	1.42454038863625e-05	-0.0153828718834541
sm	chr2R_-_19537868_19538028	chr2R	-	19537868	19538028	0.00251693266261524	0.0194784087675058	-0.000365091886967134
CG13872	chr2R_-_19879085_19879153	chr2R	-	19879085	19879153	0.0117711599378473	0.0657049995193434	-0.296150581444699
tapas	chr2R_+_20321900_20321986	chr2R	+	20321900	20321986	0.0328791383630423	0.141425425348524	0.258388395230501
maf-S	chr2R_+_20641657_20641709	chr2R	+	20641657	20641709	0.0328214418961622	0.141243451825519	-0.26388073985635
exu	chr2R_-_20667970_20668090	chr2R	-	20667970	20668090	2.05768610821287e-06	4.18127932274698e-05	-0.178993115792858
Treh	chr2R_+_21087058_21087108	chr2R	+	21087058	21087108	0.0150199438528695	0.0793434925624695	0.190326384417511
CG15676	chr2R_+_21671983_21672042	chr2R	+	21671983	21672042	0.037680018830808	0.15528625158519	0.200112421143453
lncRNA:CR9284	chr2R_+_21803993_21804048	chr2R	+	21803993	21804048	1.85254188778251e-08	5.47420162893452e-07	0.263632208329246
Obp58c	chr2R_-_22706562_22706617	chr2R	-	22706562	22706617	0.00183541355566136	0.0151142940241224	0.41521164021164
CG30275	chr2R_+_22708298_22708358	chr2R	+	22708298	22708358	0.00728474344829503	0.0454128290986823	0.299891889467661
ReepA	chr2R_+_22925375_22925439	chr2R	+	22925375	22925439	0.041637898662366	0.166730676804155	0.182814484801195
NONE	chr2R_+_23273960_23274017	chr2R	+	23273960	23274017	0.0218131624444623	0.105330586985177	0.295536315536315
NONE	chr2R_+_23322306_23322335	chr2R	+	23322306	23322335	8.10493642130116e-08	2.14532023337787e-06	0.199295678645283
CG9934	chr2L_-_13016589_13016643	chr2L	-	13016589	13016643	0.0284303116290524	0.127487899578525	0.312107474568775
CG43775	chr2R_-_24123682_24123735	chr2R	-	24123682	24123735	2.60967631651988e-05	0.000408024731449665	0.00318307521444759
CG13579	chr2R_+_24474446_24474499	chr2R	+	24474446	24474499	0.013765732672804	0.0741509670160658	-0.0334862770746666
NONE	chr2R_*_24561911_24561931	chr2R	*	24561911	24561931	0.00733008131089458	0.0456334677287701	-0.165792640354593
COX4L	chr2R_+_5354108_5354152	chr2R	+	5354108	5354152	0.0375698041025403	0.155020989488811	0.108136238629571
vlc	chr2R_+_5703404_5703469	chr2R	+	5703404	5703469	0.000244349363508085	0.00276945085764342	-0.148254586084201
NONE	chr2R_-_5763368_5763477	chr2R	-	5763368	5763477	0.000141790653499968	0.00173765230284079	-0.471043771043771
NONE	chr2R_-_5763634_5763715	chr2R	-	5763634	5763715	0.00739943321035359	0.0459850042436224	-0.396571021571022
phtf	chr2R_+_6743133_6743193	chr2R	+	6743133	6743193	0.000898282883583572	0.00837784418180782	-0.061452437051079
CG9254	chr2L_-_13596271_13596328	chr2L	-	13596271	13596328	0.0369630340158154	0.153309263252576	0.0439092759878084
sax	chr2R_+_7807644_7807706	chr2R	+	7807644	7807706	1.05295633565257e-07	2.72863928836857e-06	0.0298524706370746
sut3	chr2R_+_8089898_8090105	chr2R	+	8089898	8090105	0.00077622331924173	0.00741712959265327	-0.285657463258487
CG12126	chr2R_-_8262813_8262869	chr2R	-	8262813	8262869	0.00137532141157667	0.0119345189901577	-0.46952861952862
spaw	chr2R_-_8360942_8361001	chr2R	-	8360942	8361001	0.000780280098091592	0.00744924562067201	0.249717231337464
boly	chr2R_-_8366104_8366167	chr2R	-	8366104	8366167	0.0053971127541852	0.0357955730375399	0.139016881688025
CG2127	chr2R_-_8369880_8369934	chr2R	-	8369880	8369934	0.019306831346865	0.096042291509521	0.0502065203175527
NONE	chr2L_+_13743050_13743110	chr2L	+	13743050	13743110	0.000605109072495297	0.00598595810381435	0.165386940604441
CG9008	chr2L_-_13774767_13774835	chr2L	-	13774767	13774835	0.000669231851430877	0.00652483280737153	-0.0305890772144489
CG9008	chr2L_-_13774931_13775028	chr2L	-	13774931	13775028	0.0349925016502528	0.147693805273051	-0.159303115185468
CNT1	chr2R_+_9084601_9084660	chr2R	+	9084601	9084660	9.41560972938866e-06	0.000163339990686494	-0.00521804015526163
CG18659	chr2R_-_9123623_9123687	chr2R	-	9123623	9123687	0.00110952963577045	0.0100066395242916	-0.326226136570964
lncRNA:CR44208	chr2R_+_9788605_9788666	chr2R	+	9788605	9788666	1.56026643893259e-05	0.000256416158361393	0.017729702953024
Ufd1-like	chr3L_-_11122614_11122686	chr3L	-	11122614	11122686	0.0487031450290051	0.185670805282079	0.0732305488365711
CG7573	chr3L_+_11311833_11311977	chr3L	+	11311833	11311977	0.00160637648509389	0.0135622594005673	0.28733412556942
Fuca	chr3L_-_11521650_11521706	chr3L	-	11521650	11521706	4.16410155458567e-39	1.36482677534764e-36	0.707230789686625
CG33489	chr3L_-_11575239_11575312	chr3L	-	11575239	11575312	0.000100200931860788	0.00128972311433959	-0.265144139022756
Sprn	chr3L_+_11879455_11879508	chr3L	+	11879455	11879508	0.0270944158433851	0.12311305475986	0.0406925774612403
Pop2	chr3L_-_11998835_11998892	chr3L	-	11998835	11998892	0.000271117826633296	0.00302376394110235	0.287121971595656
vih	chr3L_+_12505458_12505511	chr3L	+	12505458	12505511	4.25201913766095e-06	8.06477594988123e-05	-0.353246432522748
CG10171	chr3L_-_13386538_13386599	chr3L	-	13386538	13386599	0.043129887784996	0.170683614932294	-0.00676650284409164
Poc1	chr3L_-_13388578_13388685	chr3L	-	13388578	13388685	0.0322337838679467	0.139515128450344	-0.177819865319865
cmb	chr3L_+_13444643_13444708	chr3L	+	13444643	13444708	0.0304174784844117	0.133820657123482	-0.207064899324961
CG15286	chr2L_+_14338562_14338633	chr2L	+	14338562	14338633	0.020777213126298	0.101578329036219	-0.145711672279691
CG6650	chr3L_+_14033222_14033277	chr3L	+	14033222	14033277	0.00112140027131146	0.0100969641842014	0.455796055796056
nuf	chr3L_+_14203844_14203900	chr3L	+	14203844	14203900	0.0368352615990836	0.152957200467729	-0.0752492802896028
CG13481	chr3L_-_14369263_14369320	chr3L	-	14369263	14369320	0.00832687866967078	0.0504124976551051	0.098489431169247
Pdk1	chr3L_+_143816_143867	chr3L	+	143816	143867	0.0149303924074915	0.0789808414566585	-0.464568159114382
ome	chr3L_+_14691566_14691640	chr3L	+	14691566	14691640	0.0357052282922969	0.149777333910615	-0.165947218996
CG4218	chr2L_-_14547812_14547865	chr2L	-	14547812	14547865	7.69794294094969e-27	1.27783863687222e-24	-0.0210185516601493
CG3473	chr2L_-_14563303_14563374	chr2L	-	14563303	14563374	0.0321588695439909	0.13930598696675	-0.115129556433904
CG32313	chr3L_-_1544873_1544930	chr3L	-	1544873	1544930	0.0026093074081573	0.0200627788399082	-0.352086252625321
dbo	chr3L_+_15828244_15828317	chr3L	+	15828244	15828317	0.020370806226842	0.0999649349032583	0.266269841269841
CG33791	chr3L_+_1616762_1616818	chr3L	+	1616762	1616818	0.00522758823511185	0.0349156376834331	-0.00258593576332399
CG33308	chr2L_+_14802468_14802586	chr2L	+	14802468	14802586	0.0121420348908891	0.06733907394241	-0.195963897576801
CG33308	chr2L_+_14802816_14802865	chr2L	+	14802816	14802865	7.55585974777273e-06	0.000133716958324329	-0.199381282643779
asRNA:CR45895	chr3L_-_16587471_16587529	chr3L	-	16587471	16587529	0.0283216203653387	0.127160274943369	-0.208567821067821
Apl	chr3L_+_16596676_16596735	chr3L	+	16596676	16596735	0.0450592224098536	0.176004739631425	-0.0697911284118181
Apl	chr3L_+_16600163_16600228	chr3L	+	16600163	16600228	0.01584455648129	0.0827402172747969	-0.0140845644752557
Lasp	chr3L_-_16711049_16711101	chr3L	-	16711049	16711101	0.00817293727712567	0.0496959454443758	0.105631865278968
CG32192	chr3L_+_18040426_18040494	chr3L	+	18040426	18040494	0.0445653119886029	0.17476011521547	-0.0951057894671496
CG13700	chr3L_-_18298844_18298893	chr3L	-	18298844	18298893	0.000646169283346135	0.00632590078199315	-0.0168335226717362
bora	chr3L_+_18624489_18624544	chr3L	+	18624489	18624544	0.0222764481847384	0.106955254696247	-0.18255713567605
vig	chr2L_-_15067507_15067551	chr2L	-	15067507	15067551	0.0328168255631223	0.141243451825519	0.26952861952862
ms(3)76Cc	chr3L_+_19623312_19623427	chr3L	+	19623312	19623427	0.00955748245432317	0.0559539078053563	-0.222739427176437
Prp3	chr3L_+_19910432_19910500	chr3L	+	19910432	19910500	0.0188247233007824	0.0942718311167417	0.0971729490022173
RhoGDI	chr3L_+_19932548_19932603	chr3L	+	19932548	19932603	1.56596926477191e-07	3.93581500540737e-06	-0.634555167055167
yuri	chr2L_-_15264095_15264149	chr2L	-	15264095	15264149	0.00535165258538453	0.0355527935612914	-0.0171202554248624
Mst77F	chr3L_-_20817534_20817595	chr3L	-	20817534	20817595	0.0252447838025958	0.117186946763679	-0.000131295571608713
park	chr3L_-_21196712_21196774	chr3L	-	21196712	21196774	0.0143356541422403	0.0765356799203257	0.0246090587843606
CG9391	chr3L_-_21267535_21267585	chr3L	-	21267535	21267585	0.00654149986812476	0.0417892296169652	0.00796561752687602
CG11249	chr3L_+_21673803_21673875	chr3L	+	21673803	21673875	0.00421736353725233	0.0293951074316661	-0.322207227470385
